dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,31Oct2025,14,84.0,77.36000061035156,0.042,-6.827741672506952,0.075,86.0,0.29004616210937495,0.08182702826906835
17Oct2025,C,07Nov2025,21,78.0,77.36000061035156,0.042,-6.903016311327341,2.075,1.0,0.35767243896484374,0.4900388518898215
17Oct2025,C,07Nov2025,21,83.0,77.36000061035156,0.042,-6.840884530220334,0.47500000000000003,15.0,0.358404853515625,0.2273881426752825
17Oct2025,C,21Nov2025,35,77.5,77.36000061035156,0.042,-6.911780534990965,2.8,10.0,0.31055376953124997,0.5283652591330125
17Oct2025,C,21Nov2025,35,80.0,77.36000061035156,0.042,-6.880031836676384,1.6749999999999998,4.0,0.3127510131835937,0.39878860477477607
17Oct2025,C,21Nov2025,35,82.5,77.36000061035156,0.042,-6.84926017800963,0.875,12.0,0.3034737622070312,0.2760256034413387
17Oct2025,C,21Nov2025,35,85.0,77.36000061035156,0.042,-6.819407214859949,0.625,9.0,0.32227240234374993,0.19669375100709385
17Oct2025,C,21Nov2025,35,87.5,77.36000061035156,0.042,-6.790419677986697,0.4,21.0,0.3464420825195312,0.14527231848709438
17Oct2025,C,21Nov2025,35,92.5,77.36000061035156,0.042,-6.734849826831886,0.15,20.0,0.38623660644531244,0.08061255425685376
17Oct2025,C,19Dec2025,63,77.5,77.36000061035156,0.042,-6.916447201657631,3.55,5.0,0.31726756958007807,0.542679282571907
17Oct2025,C,19Dec2025,63,80.0,77.36000061035156,0.042,-6.884698503343051,2.25,74.0,0.2695385546875,0.42899353419454445
17Oct2025,C,19Dec2025,63,82.5,77.36000061035156,0.042,-6.853926844676296,1.475,26.0,0.28089098022460934,0.333317272946516
17Oct2025,C,16Jan2026,91,70.0,77.36000061035156,0.042,-7.02289656263424,9.149999999999999,2.0,0.3479069116210937,0.7650510360164384
17Oct2025,C,16Jan2026,91,77.5,77.36000061035156,0.042,-6.921113868324298,4.1,33.0,0.27698476928710936,0.5524249736159764
17Oct2025,C,16Jan2026,91,80.0,77.36000061035156,0.042,-6.889365170009717,2.875,32.0,0.26734131103515624,0.45771262822314207
17Oct2025,C,16Jan2026,91,82.5,77.36000061035156,0.042,-6.8585935113429635,1.9750000000000003,12.0,0.26258061645507813,0.364963541606494
