dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,31Oct2025,14,80.0,97.06999969482422,0.042,-7.10349434222185,17.425,5.0,0.6679720703125002,0.9401613627109343
17Oct2025,C,31Oct2025,14,90.0,97.06999969482422,0.042,-6.985711306565467,8.025,3.0,0.5317429638671876,0.7863149868909978
17Oct2025,C,31Oct2025,14,92.0,97.06999969482422,0.042,-6.963732399846692,5.85,7.0,0.47363807617187503,0.7395796125209905
17Oct2025,C,31Oct2025,14,93.0,97.06999969482422,0.042,-6.952921483742476,5.375,101.0,0.5007374145507812,0.6922463281053219
17Oct2025,C,31Oct2025,14,94.0,97.06999969482422,0.042,-6.942226194625728,4.225,4.0,0.41919526123046874,0.6744102157248741
17Oct2025,C,31Oct2025,14,95.0,97.06999969482422,0.042,-6.931644085295191,3.925,61.0,0.38623660644531244,0.6346070072560409
17Oct2025,C,31Oct2025,14,96.0,97.06999969482422,0.042,-6.9211727854278955,3.3,148.0,0.37573866455078125,0.5828974377711778
17Oct2025,C,31Oct2025,14,97.0,97.06999969482422,0.042,-6.91080999839235,2.74,196.0,0.370123486328125,0.5272741835244338
17Oct2025,C,31Oct2025,14,98.0,97.06999969482422,0.042,-6.90055349822516,2.245,178.0,0.366217275390625,0.4702577554005617
17Oct2025,C,31Oct2025,14,99.0,97.06999969482422,0.042,-6.890401126761142,1.77,254.0,0.34668622070312494,0.4081588877794393
17Oct2025,C,31Oct2025,14,100.0,97.06999969482422,0.042,-6.880350790907641,1.365,378.0,0.3415593188476562,0.34936857808570165
17Oct2025,C,31Oct2025,14,101.0,97.06999969482422,0.042,-6.870400460054473,1.0350000000000001,209.0,0.3354558642578125,0.29228245613647286
17Oct2025,C,31Oct2025,14,102.0,97.06999969482422,0.042,-6.860548163611461,0.7749999999999999,183.0,0.33350275878906255,0.24160287991210055
17Oct2025,C,31Oct2025,14,103.0,97.06999969482422,0.042,-6.850791988666096,0.565,191.0,0.3283758569335937,0.19356970928762368
17Oct2025,C,31Oct2025,14,104.0,97.06999969482422,0.042,-6.841130077754359,0.385,27.0,0.3332586206054688,0.15884131523922196
17Oct2025,C,31Oct2025,14,105.0,97.06999969482422,0.042,-6.8315606267382085,0.33,78.0,0.34180345703125,0.13230705085755218
17Oct2025,C,31Oct2025,14,106.0,97.06999969482422,0.042,-6.822081882783665,0.21500000000000005,38.0,0.335944140625,0.10023152509579408
17Oct2025,C,31Oct2025,14,107.0,97.06999969482422,0.042,-6.812692142433826,0.185,122.0,0.37744763183593744,0.1040509619911405
17Oct2025,C,31Oct2025,14,109.0,97.06999969482422,0.042,-6.794173094666588,0.13,41.0,0.401373173828125,0.0785625035675312
17Oct2025,C,31Oct2025,14,110.0,97.06999969482422,0.042,-6.785040611103316,0.08,9.0,0.36524072265625,0.04552656234330612
17Oct2025,C,31Oct2025,14,111.0,97.06999969482422,0.042,-6.775990775583398,0.10500000000000001,2.0,0.42676354492187507,0.061372817800475855
17Oct2025,C,31Oct2025,14,113.0,97.06999969482422,0.042,-6.758133158183392,0.09,1.0,0.46094289062500005,0.05258616360320351
17Oct2025,C,31Oct2025,14,120.0,97.06999969482422,0.042,-6.698029234113686,0.075,450.0,0.5195360546875,0.021825866725173206
17Oct2025,C,07Nov2025,21,88.0,97.06999969482422,0.042,-7.009350829084192,9.9,1.0,0.6174354663085939,0.7741929699089143
17Oct2025,C,07Nov2025,21,94.0,97.06999969482422,0.042,-6.943392861292395,4.575,20.0,0.3833069482421875,0.6634138335921003
17Oct2025,C,07Nov2025,21,95.0,97.06999969482422,0.042,-6.932810751961858,4.75,1.0,0.46094289062500005,0.6072266913239367
17Oct2025,C,07Nov2025,21,96.0,97.06999969482422,0.042,-6.922339452094563,3.675,34.0,0.34497725341796875,0.5810296997491079
17Oct2025,C,07Nov2025,21,97.0,97.06999969482422,0.042,-6.911976665059016,3.125,174.0,0.340826904296875,0.5315863841245613
17Oct2025,C,07Nov2025,21,98.0,97.06999969482422,0.042,-6.9017201648918265,2.635,371.0,0.34009448974609374,0.48146534365581517
17Oct2025,C,07Nov2025,21,99.0,97.06999969482422,0.042,-6.891567793427809,2.175,119.0,0.334967587890625,0.430624534172505
17Oct2025,C,07Nov2025,21,100.0,97.06999969482422,0.042,-6.881517457574307,1.74,399.0,0.3227606787109374,0.37668583523235966
17Oct2025,C,07Nov2025,21,101.0,97.06999969482422,0.042,-6.871567126721139,1.4100000000000001,3.0,0.32080757324218745,0.3278388177869256
17Oct2025,C,07Nov2025,21,102.0,97.06999969482422,0.042,-6.861714830278127,1.1400000000000001,161.0,0.3217841259765625,0.2836784807368601
17Oct2025,C,07Nov2025,21,103.0,97.06999969482422,0.042,-6.851958655332763,0.875,53.0,0.3147041186523437,0.2370641985595736
17Oct2025,C,07Nov2025,21,104.0,97.06999969482422,0.042,-6.842296744421026,0.685,31.0,0.31592480957031244,0.20039199194847668
17Oct2025,C,07Nov2025,21,105.0,97.06999969482422,0.042,-6.832727293404876,0.505,47.0,0.313483427734375,0.16487478682466905
17Oct2025,C,07Nov2025,21,106.0,97.06999969482422,0.042,-6.823248549450332,0.48,3.0,0.3505924316406249,0.16459560403448764
17Oct2025,C,07Nov2025,21,107.0,97.06999969482422,0.042,-6.813858809100492,0.325,7.0,0.33350275878906255,0.12562311363600115
17Oct2025,C,07Nov2025,21,109.0,97.06999969482422,0.042,-6.795339761333255,0.155,1.0,0.3242255078124999,0.07772516425186553
17Oct2025,C,07Nov2025,21,111.0,97.06999969482422,0.042,-6.777157442250065,0.18,1.0,0.37842418457031246,0.07996146819128486
17Oct2025,C,07Nov2025,21,115.0,97.06999969482422,0.042,-6.741755515199149,0.04,84.0,0.348639326171875,0.025222086360058234
17Oct2025,C,07Nov2025,21,116.0,97.06999969482422,0.042,-6.733097452456034,0.05999999999999999,30.0,0.39063109375,0.03371722587054221
17Oct2025,C,14Nov2025,28,90.0,97.06999969482422,0.042,-6.9880446398988,8.425,2.0,0.43677321044921874,0.761841953296039
17Oct2025,C,14Nov2025,28,93.0,97.06999969482422,0.042,-6.95525481707581,6.099999999999999,3.0,0.40064075927734377,0.6810082167322411
17Oct2025,C,14Nov2025,28,94.0,97.06999969482422,0.042,-6.944559527959061,5.35,10.0,0.37695935546875,0.6520551741715618
17Oct2025,C,14Nov2025,28,95.0,97.06999969482422,0.042,-6.933977418628524,4.75,59.0,0.35596347167968745,0.6181440812079307
17Oct2025,C,14Nov2025,28,96.0,97.06999969482422,0.042,-6.923506118761229,4.25,62.0,0.36963520996093746,0.5757086415419866
17Oct2025,C,14Nov2025,28,97.0,97.06999969482422,0.042,-6.913143331725682,3.6,27.0,0.34656415161132803,0.535488929021279
