dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,31Oct2025,14,5.0,11.920000076293945,0.042,-7.778868367919072,7.199999999999999,4.0,3.6250009375000003,0.9430573081416321
17Oct2025,C,31Oct2025,14,9.5,11.920000076293945,0.042,-7.137014481746678,2.445,2.0,0.6718782812500002,0.9642733370586251
17Oct2025,C,31Oct2025,14,10.0,11.920000076293945,0.042,-7.085721187359127,1.96,2.0,0.6093789062500001,0.9388033751337561
17Oct2025,C,31Oct2025,14,10.5,11.920000076293945,0.042,-7.036931023189695,1.465,28.0,0.7578149218750001,0.8263151401643278
17Oct2025,C,31Oct2025,14,11.0,11.920000076293945,0.042,-6.990411007554802,1.0550000000000002,484.0,0.507817421875,0.808819255664067
17Oct2025,C,31Oct2025,14,11.5,11.920000076293945,0.042,-6.945959244983968,0.7,671.0,0.5039112109375,0.6660883651847302
17Oct2025,C,31Oct2025,14,12.0,11.920000076293945,0.042,-6.903399630565173,0.395,1312.0,0.4804739453125,0.4972414870270785
17Oct2025,C,31Oct2025,14,12.5,11.920000076293945,0.042,-6.862577636044917,0.195,883.0,0.44922425781249997,0.3164233980639869
17Oct2025,C,31Oct2025,14,13.0,11.920000076293945,0.042,-6.823356922891636,0.095,1642.0,0.46094289062500005,0.18465311893049796
17Oct2025,C,31Oct2025,14,13.5,11.920000076293945,0.042,-6.785616594908789,0.045,47.0,0.476567734375,0.1020984771183186
17Oct2025,C,31Oct2025,14,14.5,11.920000076293945,0.042,-6.714157630926644,0.045,1.0,0.648441015625,0.07123749995542059
17Oct2025,C,07Nov2025,21,10.0,11.920000076293945,0.042,-7.086887854025794,1.95,4.0,0.7500025,0.8598558388612871
17Oct2025,C,07Nov2025,21,10.5,11.920000076293945,0.042,-7.038097689856362,1.5099999999999998,72.0,0.6562534375000001,0.8159029099524071
17Oct2025,C,07Nov2025,21,11.0,11.920000076293945,0.042,-6.991577674221469,1.0550000000000002,28.0,0.4687553125,0.7858449147892735
17Oct2025,C,07Nov2025,21,11.5,11.920000076293945,0.042,-6.947125911650635,0.7100000000000001,369.0,0.476567734375,0.6525053896899926
17Oct2025,C,07Nov2025,21,12.0,11.920000076293945,0.042,-6.904566297231839,0.43,448.0,0.41797457031249996,0.5029969223192584
17Oct2025,C,07Nov2025,21,12.5,11.920000076293945,0.042,-6.863744302711584,0.23,166.0,0.4062559375,0.33942143470752967
17Oct2025,C,07Nov2025,21,13.0,11.920000076293945,0.042,-6.824523589558303,0.09500000000000001,211.0,0.414068359375,0.21206745617669753
17Oct2025,C,07Nov2025,21,13.5,11.920000076293945,0.042,-6.786783261575456,0.06000000000000001,25.0,0.42578699218750005,0.1263058807762934
17Oct2025,C,14Nov2025,28,10.5,11.920000076293945,0.042,-7.039264356523028,1.52,1.0,0.570316796875,0.8165718502061549
17Oct2025,C,14Nov2025,28,11.0,11.920000076293945,0.042,-6.992744340888136,1.04,9.0,0.41602146484374997,0.7830876987312466
17Oct2025,C,14Nov2025,28,11.5,11.920000076293945,0.042,-6.948292578317302,0.73,143.0,0.42969320312500003,0.6509851414054781
17Oct2025,C,14Nov2025,28,12.0,11.920000076293945,0.042,-6.905732963898506,0.44999999999999996,391.0,0.38477177734374995,0.5082782383881065
17Oct2025,C,14Nov2025,28,12.5,11.920000076293945,0.042,-6.864910969378251,0.25,160.0,0.36914693359375,0.35121031570385225
17Oct2025,C,14Nov2025,28,13.0,11.920000076293945,0.042,-6.825690256224969,0.14,30.0,0.3789124609375,0.22866320238187893
17Oct2025,C,14Nov2025,28,13.5,11.920000076293945,0.042,-6.7879499282421225,0.07,30.0,0.38281867187499996,0.1377379652642236
17Oct2025,C,14Nov2025,28,14.0,11.920000076293945,0.042,-6.751582284071247,0.045000000000000005,3.0,0.4062559375,0.0893887054463639
17Oct2025,C,21Nov2025,35,9.0,11.920000076293945,0.042,-7.194581703016953,2.92,11.0,0.7460962890625,0.9113593657063896
17Oct2025,C,21Nov2025,35,10.0,11.920000076293945,0.042,-7.089221187359127,1.9849999999999997,88.0,0.5429733203125001,0.8754617575559689
17Oct2025,C,21Nov2025,35,11.0,11.920000076293945,0.042,-6.993911007554803,1.115,212.0,0.40820904296875,0.7674552871625098
17Oct2025,C,21Nov2025,35,12.0,11.920000076293945,0.042,-6.906899630565173,0.475,2380.0,0.358404853515625,0.5125687929863153
17Oct2025,C,21Nov2025,35,13.0,11.920000076293945,0.042,-6.826856922891636,0.15500000000000003,886.0,0.34766277343749996,0.2374945241909679
17Oct2025,C,21Nov2025,35,14.0,11.920000076293945,0.042,-6.752748950737914,0.055,1185.0,0.3789124609375,0.10066258504238512
17Oct2025,C,28Nov2025,42,10.5,11.920000076293945,0.042,-7.041597689856362,1.5449999999999997,15.0,0.500005,0.8054208436869638
17Oct2025,C,28Nov2025,42,11.0,11.920000076293945,0.042,-6.995077674221469,1.105,63.0,0.42578699218750005,0.745948612154711
17Oct2025,C,28Nov2025,42,11.5,11.920000076293945,0.042,-6.9506259116506355,0.78,65.0,0.389654541015625,0.645810616499317
17Oct2025,C,28Nov2025,42,12.0,11.920000076293945,0.042,-6.908066297231839,0.465,96.0,0.33301448242187504,0.5159738744736551
17Oct2025,C,28Nov2025,42,12.5,11.920000076293945,0.042,-6.867244302711584,0.28,89.0,0.32813171874999997,0.3715430044175859
17Oct2025,C,28Nov2025,42,13.0,11.920000076293945,0.042,-6.828023589558303,0.17499999999999996,101.0,0.34180345703125,0.2583689499659677
17Oct2025,C,19Dec2025,63,4.85,11.920000076293945,0.042,-7.817494242070448,7.050000000000001,2.0,1.4453152734375,0.964842788594786
17Oct2025,C,19Dec2025,63,9.0,11.920000076293945,0.042,-7.1992483696836205,2.9699999999999998,10.0,0.6132851171875001,0.8959270379712843
17Oct2025,C,19Dec2025,63,9.67,11.920000076293945,0.042,-7.127444637554636,2.335,104.0,0.47852083984375,0.8826043267890955
17Oct2025,C,19Dec2025,63,9.85,11.920000076293945,0.042,-7.1090014918358415,2.145,73.0,0.40820904296875,0.8947651231298159
17Oct2025,C,19Dec2025,63,10.0,11.920000076293945,0.042,-7.093887854025794,2.005,5.0,0.42383388671875,0.8700544953941683
17Oct2025,C,19Dec2025,63,11.0,11.920000076293945,0.042,-6.998577674221469,1.2,64.0,0.36035795898437495,0.7453053437072182
17Oct2025,C,19Dec2025,63,11.67,11.920000076293945,0.042,-6.939451500721375,0.7599999999999999,371.0,0.32617861328125,0.6093660244896351
17Oct2025,C,19Dec2025,63,12.0,11.920000076293945,0.042,-6.911566297231839,0.59,735.0,0.32227240234374993,0.5283527968543176
17Oct2025,C,19Dec2025,63,13.0,11.920000076293945,0.042,-6.831523589558302,0.26,1241.0,0.32813171874999997,0.303318923517372
17Oct2025,C,19Dec2025,63,14.0,11.920000076293945,0.042,-6.757415617404581,0.11,30.0,0.3437565625,0.15767978739114552
17Oct2025,C,19Dec2025,63,14.67,11.920000076293945,0.042,-6.710668354864949,0.065,14.0,0.35547519531249994,0.09980072690340208
17Oct2025,C,19Dec2025,63,15.0,11.920000076293945,0.042,-6.688422745917629,0.055,11.0,0.36914693359375,0.08461866546335511
17Oct2025,C,16Jan2026,91,7.67,11.920000076293945,0.042,-7.3638229983073415,4.325,30.0,0.57812921875,0.9561790773501025
17Oct2025,C,16Jan2026,91,9.67,11.920000076293945,0.042,-7.132111304221303,2.365,3.0,0.46582565429687506,0.8555853972998924
17Oct2025,C,16Jan2026,91,9.85,11.920000076293945,0.042,-7.1136681585025086,2.19,36.0,0.43164630859375,0.851147840688359
17Oct2025,C,16Jan2026,91,10.0,11.920000076293945,0.042,-7.098554520692461,2.0700000000000003,34.0,0.44727115234375,0.827665775657667
17Oct2025,C,16Jan2026,91,11.0,11.920000076293945,0.042,-7.003244340888136,1.295,18.0,0.3398503515625,0.7323365106267556
17Oct2025,C,16Jan2026,91,11.67,11.920000076293945,0.042,-6.944118167388042,0.875,244.0,0.327155166015625,0.6085474923167833
17Oct2025,C,16Jan2026,91,12.0,11.920000076293945,0.042,-6.916232963898506,0.7,451.0,0.31445998046874996,0.5408581048901137
17Oct2025,C,16Jan2026,91,13.0,11.920000076293945,0.042,-6.8361902562249695,0.345,1230.0,0.31153032226562494,0.33999296824944625
17Oct2025,C,16Jan2026,91,14.0,11.920000076293945,0.042,-6.762082284071248,0.18,40.0,0.33887379882812496,0.21067664712583833
17Oct2025,C,16Jan2026,91,14.67,11.920000076293945,0.042,-6.715335021531616,0.10500000000000001,64.0,0.3320379296875,0.13435408727155373
17Oct2025,C,16Jan2026,91,14.85,11.920000076293945,0.042,-6.703139748437797,0.095,119.0,0.335944140625,0.12222307722086956
17Oct2025,C,16Jan2026,91,15.0,11.920000076293945,0.042,-6.693089412584296,0.08499999999999999,8.0,0.33789724609375,0.11202782677542072
17Oct2025,C,20Mar2026,154,9.85,11.920000076293945,0.042,-7.124168158502509,2.3200000000000003,15.0,0.405279384765625,0.822132232060614
17Oct2025,C,20Mar2026,154,10.0,11.920000076293945,0.042,-7.10905452069246,2.195,90.0,0.372076591796875,0.8214405994684886
17Oct2025,C,20Mar2026,154,11.0,11.920000076293945,0.042,-7.0137443408881355,1.475,164.0,0.34229173339843744,0.7095720854360679
17Oct2025,C,20Mar2026,154,11.85,11.920000076293945,0.042,-6.939311746105366,1.0150000000000001,151.0,0.3232489550781249,0.5860639188312076
17Oct2025,C,20Mar2026,154,12.0,11.920000076293945,0.042,-6.926732963898506,0.94,2458.0,0.3198310205078124,0.5623675022814152
17Oct2025,C,20Mar2026,154,13.0,11.920000076293945,0.042,-6.84669025622497,0.56,212.0,0.31641308593749995,0.407875443252402
17Oct2025,C,20Mar2026,154,14.0,11.920000076293945,0.042,-6.772582284071247,0.33499999999999996,81.0,0.32520206054687495,0.2836897383748127
17Oct2025,C,20Mar2026,154,14.85,11.920000076293945,0.042,-6.713639748437798,0.22,18.0,0.336920693359375,0.20785826424250187
17Oct2025,C,20Mar2026,154,15.0,11.920000076293945,0.042,-6.7035894125842965,0.20500000000000002,15.0,0.3320379296875,0.19061352986654384
17Oct2025,C,20Mar2026,154,16.0,11.920000076293945,0.042,-6.639050891446725,0.1,1.0,0.34766277343749996,0.13303616663661771
17Oct2025,C,20Mar2026,154,19.85,11.920000076293945,0.042,-6.423435606553307,0.065,10.0,0.47852083984375,0.07659823100221344
17Oct2025,C,18Jun2026,244,7.0,11.920000076293945,0.042,-7.480729464631193,4.975,4.0,0.5800823242187501,0.9220038453342682
17Oct2025,C,18Jun2026,244,9.0,11.920000076293945,0.042,-7.229415036350287,3.115,5.0,0.38477177734374995,0.8728016082381207
17Oct2025,C,18Jun2026,244,10.0,11.920000076293945,0.042,-7.124054520692461,2.31,2.0,0.34180345703125,0.8074839350194948
17Oct2025,C,18Jun2026,244,11.0,11.920000076293945,0.042,-7.028744340888135,1.685,259.0,0.33447931152343746,0.7030226989055561
17Oct2025,C,18Jun2026,244,12.0,11.920000076293945,0.042,-6.941732963898506,1.165,196.0,0.313483427734375,0.5837902583008627
17Oct2025,C,18Jun2026,244,13.0,11.920000076293945,0.042,-6.8616902562249695,0.76,122.0,0.3129951513671875,0.4596769788331415
17Oct2025,C,18Jun2026,244,14.0,11.920000076293945,0.042,-6.787582284071248,0.525,43.0,0.3188544677734374,0.35237893855172053
17Oct2025,C,18Jun2026,244,15.0,11.920000076293945,0.042,-6.718589412584296,0.355,44.0,0.32227240234374993,0.263058233440833
17Oct2025,C,18Jun2026,244,16.0,11.920000076293945,0.042,-6.654050891446725,0.24000000000000002,111.0,0.33447931152343746,0.2012948434376891
