dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,31Oct2025,14,250.0,300.1400146484375,0.042,-7.092876775726415,51.375,10.0,0.657229990234375,0.9327975002865175
17Oct2025,C,31Oct2025,14,260.0,300.1400146484375,0.042,-7.053656062573134,42.325,1.0,0.6392858337402343,0.8891747159643737
17Oct2025,C,31Oct2025,14,280.0,300.1400146484375,0.042,-6.979548090419412,24.925,15.0,0.5442550457763673,0.7642542848598601
17Oct2025,C,31Oct2025,14,290.0,300.1400146484375,0.042,-6.944456770608142,17.65,12.0,0.5163622583007812,0.6577541638027045
17Oct2025,C,31Oct2025,14,295.0,300.1400146484375,0.042,-6.927362337248842,13.875,6.0,0.49908948181152346,0.5956392064729188
17Oct2025,C,31Oct2025,14,300.0,300.1400146484375,0.042,-6.910555218932461,11.075,189.0,0.49408464904785165,0.5278445720493898
17Oct2025,C,31Oct2025,14,305.0,300.1400146484375,0.042,-6.89402591698125,9.0,83.0,0.5217332983398437,0.46400693071888255
17Oct2025,C,31Oct2025,14,310.0,300.1400146484375,0.042,-6.87776539610947,6.550000000000002,14.0,0.4699149688720704,0.38678874848660855
17Oct2025,C,31Oct2025,14,315.0,300.1400146484375,0.042,-6.861765054763029,5.125,8.0,0.4993946545410156,0.33406841156679534
17Oct2025,C,31Oct2025,14,320.0,300.1400146484375,0.042,-6.84601669779489,3.41,6.0,0.4646659979248047,0.2608083395934587
17Oct2025,C,31Oct2025,14,325.0,300.1400146484375,0.042,-6.830512511258925,2.455,1.0,0.46289599609375004,0.20762960082509313
17Oct2025,C,31Oct2025,14,330.0,300.1400146484375,0.042,-6.815245039128136,2.64,7.0,0.575077491455078,0.2202102214715303
17Oct2025,C,31Oct2025,14,335.0,300.1400146484375,0.042,-6.800207161763596,2.175,2.0,0.5102588037109376,0.15069282249863192
17Oct2025,C,31Oct2025,14,340.0,300.1400146484375,0.042,-6.7853920759784545,1.835,11.0,0.528447098388672,0.1276556076829497
17Oct2025,C,31Oct2025,14,345.0,300.1400146484375,0.042,-6.770793276557302,0.87,9.0,0.5097705273437501,0.09189584589868216
17Oct2025,C,31Oct2025,14,350.0,300.1400146484375,0.042,-6.756404539105203,1.29,2.0,0.5590864404296876,0.09108489082839016
17Oct2025,C,31Oct2025,14,355.0,300.1400146484375,0.042,-6.742219904113246,0.3,82.0,0.50586431640625,0.05169759705802882
17Oct2025,C,07Nov2025,21,300.0,300.1400146484375,0.042,-6.911721885599127,12.149999999999999,31.0,0.4400080413818359,0.5319161591754963
17Oct2025,C,07Nov2025,21,305.0,300.1400146484375,0.042,-6.895192583647917,9.600000000000001,16.0,0.4294490649414063,0.4677321176275412
17Oct2025,C,07Nov2025,21,310.0,300.1400146484375,0.042,-6.878932062776137,7.6,16.0,0.42175871215820315,0.403211313021801
17Oct2025,C,07Nov2025,21,320.0,300.1400146484375,0.042,-6.847183364461556,4.675,4.0,0.4154111193847656,0.2846948130641924
17Oct2025,C,07Nov2025,21,325.0,300.1400146484375,0.042,-6.831679177925591,3.25,2.0,0.41785250122070305,0.2358447769948392
17Oct2025,C,07Nov2025,21,330.0,300.1400146484375,0.042,-6.816411705794803,2.765,32.0,0.4905446453857423,0.23370820528658837
17Oct2025,C,07Nov2025,21,335.0,300.1400146484375,0.042,-6.801373828430262,2.505,1.0,0.4998218963623047,0.20145700673873013
17Oct2025,C,07Nov2025,21,340.0,300.1400146484375,0.042,-6.786558742645122,1.74,3.0,0.510869149169922,0.17447672194028374
17Oct2025,C,07Nov2025,21,375.0,300.1400146484375,0.042,-6.688578334284918,0.25,1.0,0.46484910156250003,0.027449232821642387
17Oct2025,C,14Nov2025,28,280.0,300.1400146484375,0.042,-6.981881423752745,26.75,2.0,0.5069629382324219,0.721677069489282
17Oct2025,C,14Nov2025,28,295.0,300.1400146484375,0.042,-6.929695670582175,16.6,1.0,0.45465633239746095,0.5892913028656659
17Oct2025,C,14Nov2025,28,300.0,300.1400146484375,0.042,-6.912888552265795,13.399999999999999,2639.0,0.4188290539550781,0.5357762551540604
17Oct2025,C,14Nov2025,28,305.0,300.1400146484375,0.042,-6.896359250314584,11.225000000000001,2.0,0.4294490649414063,0.48066532193086176
17Oct2025,C,14Nov2025,28,315.0,300.1400146484375,0.042,-6.864098388096362,7.25,25.0,0.43445389770507814,0.37651412910097387
17Oct2025,C,14Nov2025,28,320.0,300.1400146484375,0.042,-6.848350031128223,5.324999999999999,3.0,0.39502558105468755,0.3080241512856652
17Oct2025,C,14Nov2025,28,330.0,300.1400146484375,0.042,-6.817578372461469,3.755,46.0,0.4464166687011719,0.2485087886444
17Oct2025,C,14Nov2025,28,340.0,300.1400146484375,0.042,-6.787725409311788,2.02,2.0,0.46106495971679695,0.18743419795144206
17Oct2025,C,21Nov2025,35,210.0,300.1400146484375,0.042,-7.270730162871193,91.55,1.0,0.7336452416992187,0.9557505543087824
