dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,31Oct2025,14,265.0,297.55999755859375,0.042,-7.025974663447636,33.7,1.0,0.6125527026367189,0.850689740472557
17Oct2025,C,31Oct2025,14,290.0,297.55999755859375,0.042,-6.9358235664533385,11.7,10.0,0.3442448388671875,0.6697846306460936
17Oct2025,C,31Oct2025,14,295.0,297.55999755859375,0.042,-6.918729133094038,7.949999999999999,38.0,0.2912668530273437,0.5824769688562187
17Oct2025,C,31Oct2025,14,300.0,297.55999755859375,0.042,-6.901922014777657,5.175,154.0,0.2761302856445312,0.4624819522408992
17Oct2025,C,31Oct2025,14,305.0,297.55999755859375,0.042,-6.885392712826446,3.05,242.0,0.2620923400878906,0.33575733541234193
17Oct2025,C,31Oct2025,14,310.0,297.55999755859375,0.042,-6.869132191954666,1.6400000000000001,380.0,0.25379164184570313,0.2216190151802428
17Oct2025,C,31Oct2025,14,315.0,297.55999755859375,0.042,-6.853131850608225,0.865,169.0,0.25196060546875,0.1363386283450887
17Oct2025,C,31Oct2025,14,320.0,297.55999755859375,0.042,-6.837383493640086,0.41500000000000004,165.0,0.25025163818359375,0.07692452318688715
17Oct2025,C,31Oct2025,14,325.0,297.55999755859375,0.042,-6.821879307104121,0.20500000000000002,60.0,0.2802806347656249,0.06055140936966665
17Oct2025,C,31Oct2025,14,330.0,297.55999755859375,0.042,-6.806611834973332,0.09000000000000001,17.0,0.273444765625,0.03037174200808816
17Oct2025,C,31Oct2025,14,335.0,297.55999755859375,0.042,-6.791573957608792,0.060000000000000005,9.0,0.278327529296875,0.01711356791551629
17Oct2025,C,31Oct2025,14,340.0,297.55999755859375,0.042,-6.776758871823651,0.10500000000000001,18.0,0.3461979443359374,0.028144041307367616
17Oct2025,C,31Oct2025,14,345.0,297.55999755859375,0.042,-6.762160072402498,0.1,44.0,0.37402969726562496,0.024950624653593316
17Oct2025,C,31Oct2025,14,350.0,297.55999755859375,0.042,-6.747771334950399,0.049999999999999996,2.0,0.36426416992187505,0.013311311561233186
17Oct2025,C,31Oct2025,14,355.0,297.55999755859375,0.042,-6.733586699958442,0.09,70.0,0.43066975585937506,0.021110578922693992
17Oct2025,C,31Oct2025,14,360.0,297.55999755859375,0.042,-6.719600457983702,0.025,10.0,0.38867798828125,0.0072788814596097765
17Oct2025,C,31Oct2025,14,370.0,297.55999755859375,0.042,-6.692201483795588,0.035,3.0,0.45508357421875,0.008608368129925388
17Oct2025,C,07Nov2025,21,280.0,297.55999755859375,0.042,-6.972081552931275,20.7,12.0,0.4010069665527344,0.7597792837131792
17Oct2025,C,07Nov2025,21,290.0,297.55999755859375,0.042,-6.936990233120005,13.025000000000002,13.0,0.33411310424804685,0.6522279105403291
17Oct2025,C,07Nov2025,21,295.0,297.55999755859375,0.042,-6.919895799760705,9.4,83.0,0.289496851196289,0.5768929389419073
17Oct2025,C,07Nov2025,21,300.0,297.55999755859375,0.042,-6.9030886814443235,6.625,79.0,0.2784495983886719,0.4789860413566135
17Oct2025,C,07Nov2025,21,305.0,297.55999755859375,0.042,-6.8865593794931135,4.4,248.0,0.26734131103515624,0.37623892064228215
17Oct2025,C,07Nov2025,21,310.0,297.55999755859375,0.042,-6.870298858621333,2.71,153.0,0.25489026367187506,0.27431979349194163
17Oct2025,C,07Nov2025,21,315.0,297.55999755859375,0.042,-6.854298517274891,1.575,139.0,0.25049577636718745,0.19005809583500283
17Oct2025,C,07Nov2025,21,320.0,297.55999755859375,0.042,-6.8385501603067524,0.9849999999999998,283.0,0.25952888916015626,0.13610554861679502
17Oct2025,C,07Nov2025,21,325.0,297.55999755859375,0.042,-6.823045973770787,0.565,750.0,0.26197027099609377,0.09111729254306111
17Oct2025,C,07Nov2025,21,330.0,297.55999755859375,0.042,-6.807778501639999,0.31,156.0,0.2829661547851562,0.07283137964068798
17Oct2025,C,07Nov2025,21,335.0,297.55999755859375,0.042,-6.792740624275458,0.3,19.0,0.2929758203124999,0.05294550905130644
17Oct2025,C,07Nov2025,21,340.0,297.55999755859375,0.042,-6.777925538490318,0.12,2.0,0.28711650390624993,0.030987161010757623
17Oct2025,C,07Nov2025,21,350.0,297.55999755859375,0.042,-6.7489380016170655,0.045,111.0,0.2929758203124999,0.012537268580896418
17Oct2025,C,14Nov2025,28,280.0,297.55999755859375,0.042,-6.9732482195979415,21.8,12.0,0.37933970275878903,0.7460574188017758
17Oct2025,C,14Nov2025,28,290.0,297.55999755859375,0.042,-6.938156899786672,13.825,1.0,0.30713583496093744,0.6491152504774761
17Oct2025,C,14Nov2025,28,295.0,297.55999755859375,0.042,-6.921062466427371,10.6,18.0,0.2907175421142577,0.5743981721594082
17Oct2025,C,14Nov2025,28,300.0,297.55999755859375,0.042,-6.904255348110991,7.7,32.0,0.27625235473632803,0.48948188378998475
17Oct2025,C,14Nov2025,28,305.0,297.55999755859375,0.042,-6.88772604615978,5.45,80.0,0.26673096557617193,0.3998497511708496
17Oct2025,C,14Nov2025,28,310.0,297.55999755859375,0.042,-6.8714655252879995,3.5999999999999996,44.0,0.2572095764160156,0.31062948332812806
17Oct2025,C,14Nov2025,28,315.0,297.55999755859375,0.042,-6.855465183941559,2.255,72.0,0.2488478436279297,0.22808445256129317
17Oct2025,C,14Nov2025,28,320.0,297.55999755859375,0.042,-6.839716826973419,1.4849999999999999,266.0,0.2536695727539063,0.17008462871848268
17Oct2025,C,14Nov2025,28,325.0,297.55999755859375,0.042,-6.824212640437454,0.9899999999999999,41.0,0.2616040637207031,0.1278284874104048
17Oct2025,C,14Nov2025,28,330.0,297.55999755859375,0.042,-6.808945168306665,0.9099999999999999,9.0,0.29883513671874995,0.12102333030679335
17Oct2025,C,14Nov2025,28,340.0,297.55999755859375,0.042,-6.779092205156984,0.215,2.0,0.273444765625,0.04647426153329382
17Oct2025,C,14Nov2025,28,350.0,297.55999755859375,0.042,-6.750104668283732,0.36499999999999994,7.0,0.3631655480957031,0.06283613476813417
17Oct2025,C,21Nov2025,35,190.0,297.55999755859375,0.042,-7.362180417273372,108.69999999999999,3.0,0.8518081225585938,0.967686687231384
17Oct2025,C,21Nov2025,35,195.0,297.55999755859375,0.042,-7.336204930870111,121.575,2.0,1.8936772894287108,0.8463170381015257
17Oct2025,C,21Nov2025,35,240.0,297.55999755859375,0.042,-7.128565566091867,59.5,6.0,0.5290574438476563,0.922007009800601
17Oct2025,C,21Nov2025,35,250.0,297.55999755859375,0.042,-7.087743571571612,49.525000000000006,1.0,0.51562984375,0.8841070020067638
17Oct2025,C,21Nov2025,35,260.0,297.55999755859375,0.042,-7.04852285841833,40.05,1.0,0.45990530334472657,0.8524406139964212
17Oct2025,C,21Nov2025,35,270.0,297.55999755859375,0.042,-7.010782530435483,30.9,4.0,0.3983214465332031,0.8111950562691099
17Oct2025,C,21Nov2025,35,275.0,297.55999755859375,0.042,-6.992433391767286,26.725000000000005,3.0,0.3865417791748046,0.774033713446598
17Oct2025,C,21Nov2025,35,280.0,297.55999755859375,0.042,-6.974414886264609,22.325,30.0,0.3508365698242187,0.7425658497586107
17Oct2025,C,21Nov2025,35,285.0,297.55999755859375,0.042,-6.956715309165207,18.4,45.0,0.3332586206054688,0.6944589777702479
17Oct2025,C,21Nov2025,35,290.0,297.55999755859375,0.042,-6.939323566453338,14.975,102.0,0.30487755676269535,0.6414935319990979
