dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,31Oct2025,14,24.0,26.34000015258789,0.042,-7.00312348407567,2.44,1.0,0.69336244140625,0.7778290435821178
17Oct2025,C,31Oct2025,14,25.0,26.34000015258789,0.042,-6.962301489555415,1.6549999999999998,25.0,0.5507857421875001,0.709835726562466
17Oct2025,C,31Oct2025,14,26.0,26.34000015258789,0.042,-6.923080776402133,0.905,261.0,0.366217275390625,0.5946281618679208
17Oct2025,C,31Oct2025,14,27.0,26.34000015258789,0.042,-6.885340448419287,0.425,200.0,0.34668622070312494,0.37949110928349106
17Oct2025,C,31Oct2025,14,28.0,26.34000015258789,0.042,-6.848972804248412,0.17,1085.0,0.35742830078125,0.20752127623158723
17Oct2025,C,31Oct2025,14,29.0,26.34000015258789,0.042,-6.813881484437141,0.065,38.0,0.3632876171875,0.09783656640083227
17Oct2025,C,31Oct2025,14,30.0,26.34000015258789,0.042,-6.77997993276146,0.04,12.0,0.4101621484375,0.05944194662579643
17Oct2025,C,31Oct2025,14,31.0,26.34000015258789,0.042,-6.74719010993847,0.04,4.0,0.523442265625,0.06399787902319869
17Oct2025,C,31Oct2025,14,32.0,26.34000015258789,0.042,-6.715441411623889,0.03,2.0,0.51562984375,0.031368776547239935
17Oct2025,C,07Nov2025,21,24.0,26.34000015258789,0.042,-7.004290150742337,2.575,2.0,0.577152666015625,0.7759866078238712
17Oct2025,C,07Nov2025,21,25.0,26.34000015258789,0.042,-6.963468156222081,1.58,7.0,0.35938140625,0.7507446911062718
17Oct2025,C,07Nov2025,21,26.0,26.34000015258789,0.042,-6.924247443068801,1.0,79.0,0.33887379882812496,0.5910350576990259
17Oct2025,C,07Nov2025,21,27.0,26.34000015258789,0.042,-6.886507115085953,0.515,101.0,0.32471378417968744,0.402153542897141
17Oct2025,C,07Nov2025,21,28.0,26.34000015258789,0.042,-6.850139470915078,0.225,43.0,0.31836619140624994,0.23254420155607058
17Oct2025,C,07Nov2025,21,29.0,26.34000015258789,0.042,-6.815048151103809,0.155,31.0,0.44727115234375,0.20594050870680825
17Oct2025,C,07Nov2025,21,30.0,26.34000015258789,0.042,-6.781146599428127,0.034999999999999996,40.0,0.34766277343749996,0.06817212512540173
17Oct2025,C,07Nov2025,21,31.0,26.34000015258789,0.042,-6.748356776605136,0.085,1.0,0.5293015820312501,0.11496135660296747
17Oct2025,C,14Nov2025,28,24.0,26.34000015258789,0.042,-7.005456817409003,2.65,2.0,0.5830119824218749,0.7507467024527814
17Oct2025,C,14Nov2025,28,25.0,26.34000015258789,0.042,-6.9646348228887485,1.6800000000000002,5.0,0.352545537109375,0.731231845635696
17Oct2025,C,14Nov2025,28,26.0,26.34000015258789,0.042,-6.925414109735467,1.0550000000000002,59.0,0.31445998046874996,0.5908419881784992
17Oct2025,C,14Nov2025,28,27.0,26.34000015258789,0.042,-6.8876737817526195,0.565,108.0,0.29883513671874995,0.41344417497234526
17Oct2025,C,14Nov2025,28,28.0,26.34000015258789,0.042,-6.851306137581745,0.255,67.0,0.29004616210937495,0.24809481508876036
17Oct2025,C,14Nov2025,28,29.0,26.34000015258789,0.042,-6.816214817770475,0.1,115.0,0.30664755859375,0.14631914300013715
17Oct2025,C,14Nov2025,28,30.0,26.34000015258789,0.042,-6.782313266094794,0.1,1.0,0.4101621484375,0.1445417389982333
17Oct2025,C,21Nov2025,35,24.0,26.34000015258789,0.042,-7.00662348407567,2.85,7.0,0.59570716796875,0.7318469988120979
17Oct2025,C,21Nov2025,35,25.0,26.34000015258789,0.042,-6.965801489555415,1.78,2.0,0.37256486816406253,0.7071802639230812
17Oct2025,C,21Nov2025,35,26.0,26.34000015258789,0.042,-6.926580776402133,1.16,136.0,0.31250687499999996,0.588722319963047
17Oct2025,C,21Nov2025,35,27.0,26.34000015258789,0.042,-6.888840448419287,0.655,870.0,0.2929758203124999,0.4273859764425925
17Oct2025,C,21Nov2025,35,28.0,26.34000015258789,0.042,-6.8524728042484115,0.33499999999999996,600.0,0.28613995117187496,0.2742573158128983
17Oct2025,C,21Nov2025,35,29.0,26.34000015258789,0.042,-6.817381484437141,0.16,325.0,0.28516339843749994,0.1587190753669095
17Oct2025,C,21Nov2025,35,30.0,26.34000015258789,0.042,-6.78347993276146,0.08499999999999999,175.0,0.29492892578124996,0.09096022023714656
17Oct2025,C,21Nov2025,35,31.0,26.34000015258789,0.042,-6.7506901099384695,0.045,26.0,0.3086006640625,0.053186262022757315
17Oct2025,C,28Nov2025,42,26.0,26.34000015258789,0.042,-6.9277474430688,1.24,2.0,0.3227606787109374,0.586109938488086
17Oct2025,C,28Nov2025,42,27.0,26.34000015258789,0.042,-6.890007115085953,0.76,36.0,0.33301448242187504,0.4523148640942957
17Oct2025,C,28Nov2025,42,28.0,26.34000015258789,0.042,-6.853639470915079,0.395,4.0,0.30811238769531246,0.31339639928459195
17Oct2025,C,28Nov2025,42,29.0,26.34000015258789,0.042,-6.818548151103808,0.16999999999999998,194.0,0.278327529296875,0.1786291896043955
17Oct2025,C,19Dec2025,63,23.0,26.34000015258789,0.042,-7.053849765161132,3.7249999999999996,1.0,0.3940490283203125,0.8300590702837636
17Oct2025,C,19Dec2025,63,25.0,26.34000015258789,0.042,-6.970468156222082,2.06,3.0,0.32129584960937496,0.6957463296827388
17Oct2025,C,19Dec2025,63,26.0,26.34000015258789,0.042,-6.9312474430688,1.45,59.0,0.30054410400390624,0.5888319708060769
17Oct2025,C,19Dec2025,63,27.0,26.34000015258789,0.042,-6.893507115085953,0.94,57.0,0.2880930566406249,0.4655913092339913
17Oct2025,C,19Dec2025,63,28.0,26.34000015258789,0.042,-6.857139470915079,0.575,212.0,0.2797923583984374,0.34263488539884973
17Oct2025,C,19Dec2025,63,29.0,26.34000015258789,0.042,-6.822048151103808,0.33999999999999997,68.0,0.2802806347656249,0.24017742693924415
17Oct2025,C,19Dec2025,63,30.0,26.34000015258789,0.042,-6.788146599428127,0.21000000000000002,365.0,0.28125718749999995,0.1603534656352849
