dateraw,cp_flag,exdateraw,tauday,X,s,tr,money,oprice,volume,iv,deltachk
17Oct2025,C,27Oct2025,10,4800.0,6664.009765625,0.042,-7.237527398028348,1877.5,1.0,1.084629821014404,0.9728078033500557
17Oct2025,C,27Oct2025,10,6500.0,6664.009765625,0.042,-6.934341139040602,201.7,1.0,0.24974810317993162,0.7425773849494478
17Oct2025,C,27Oct2025,10,6525.0,6664.009765625,0.042,-6.930502362733436,180.3,14.0,0.23974606697082515,0.7190622717947776
17Oct2025,C,27Oct2025,10,6540.0,6664.009765625,0.042,-6.928206150473086,167.7,14.0,0.2337723107910156,0.7035149256742643
17Oct2025,C,27Oct2025,10,6550.0,6664.009765625,0.042,-6.926678266295033,159.5,34.0,0.23002631553649902,0.6923377337048554
17Oct2025,C,27Oct2025,10,6570.0,6664.009765625,0.042,-6.923629483445675,143.3,2.0,0.22231307479858392,0.668498148539455
17Oct2025,C,27Oct2025,10,6575.0,6664.009765625,0.042,-6.922868737878365,139.3,2.0,0.22035234001159665,0.6621959250327286
17Oct2025,C,27Oct2025,10,6580.0,6664.009765625,0.042,-6.922108570604967,135.0,4.0,0.1992343871307373,0.6686132440619339
17Oct2025,C,27Oct2025,10,6585.0,6664.009765625,0.042,-6.9213489807469495,131.1,17.0,0.19751779052734375,0.6614259636612413
17Oct2025,C,27Oct2025,10,6590.0,6664.009765625,0.042,-6.9205899674277775,127.19999999999999,9.0,0.19572108608245847,0.6541142364710293
17Oct2025,C,27Oct2025,10,6595.0,6664.009765625,0.042,-6.919831529772916,123.34999999999998,6.0,0.1940884119796753,0.6465070885769713
17Oct2025,C,27Oct2025,10,6600.0,6664.009765625,0.042,-6.919073666909814,119.55,487.0,0.19237563003540042,0.6387684300176705
17Oct2025,C,27Oct2025,10,6605.0,6664.009765625,0.042,-6.918316377967905,115.8,7.0,0.1905751109313965,0.6308923613376645
17Oct2025,C,27Oct2025,10,6610.0,6664.009765625,0.042,-6.917559662078598,112.0,26.0,0.18869066932678222,0.6228647679405943
17Oct2025,C,27Oct2025,10,6615.0,6664.009765625,0.042,-6.916803518375275,108.44999999999999,100.0,0.18695881408691406,0.6145471463751606
17Oct2025,C,27Oct2025,10,6620.0,6664.009765625,0.042,-6.916047945993276,104.80000000000001,454.0,0.18536428657531737,0.6059597596541806
17Oct2025,C,27Oct2025,10,6625.0,6664.009765625,0.042,-6.915292944069908,101.15,51.0,0.18344551303863527,0.597325864515389
17Oct2025,C,27Oct2025,10,6630.0,6664.009765625,0.042,-6.914538511744422,97.6,62.0,0.1816640672302246,0.5884119722024962
17Oct2025,C,27Oct2025,10,6635.0,6664.009765625,0.042,-6.913784648158023,93.9,70.0,0.18001613449096682,0.5792335418782022
17Oct2025,C,27Oct2025,10,6640.0,6664.009765625,0.042,-6.913031352453851,90.55000000000001,236.0,0.17826520595550538,0.5698828497431968
17Oct2025,C,27Oct2025,10,6650.0,6664.009765625,0.042,-6.9115264612744305,83.7,1164.0,0.17467561172485352,0.5505472947546218
17Oct2025,C,27Oct2025,10,6660.0,6664.009765625,0.042,-6.910023831389895,76.95,15.0,0.17155903522491456,0.5302569702702787
17Oct2025,C,27Oct2025,10,6665.0,6664.009765625,0.042,-6.909273362311521,73.7,32.0,0.16971274021148686,0.5198267879504356
17Oct2025,C,27Oct2025,10,6670.0,6664.009765625,0.042,-6.908523456014661,70.6,125.0,0.1677481907653809,0.5091612475403458
17Oct2025,C,27Oct2025,10,6675.0,6664.009765625,0.042,-6.90777411165588,67.5,348.0,0.16611170200347908,0.4982710175129087
17Oct2025,C,27Oct2025,10,6680.0,6664.009765625,0.042,-6.907025328393639,64.4,88.0,0.1643493294906616,0.48715662077822486
17Oct2025,C,27Oct2025,10,6685.0,6664.009765625,0.042,-6.906277105388287,61.25,28.0,0.16291120300292972,0.4758905961101611
17Oct2025,C,27Oct2025,10,6690.0,6664.009765625,0.042,-6.905529441802057,58.400000000000006,131.0,0.16088180435180666,0.4642836144307822
17Oct2025,C,27Oct2025,10,6695.0,6664.009765625,0.042,-6.904782336799058,55.349999999999994,33.0,0.15939790195465087,0.45261951588051735
17Oct2025,C,27Oct2025,10,6700.0,6664.009765625,0.042,-6.904035789545273,52.65,190.0,0.1573074687576294,0.44052120652362114
17Oct2025,C,27Oct2025,10,6705.0,6664.009765625,0.042,-6.903289799208552,49.8,16.0,0.15599904067993164,0.42857188075174574
17Oct2025,C,27Oct2025,10,6710.0,6664.009765625,0.042,-6.902544364958603,47.15,237.0,0.15383231430053712,0.4159819003142815
