dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
27Oct2025,C,05Dec2025,39,320.0,268.8099975585937,0.0411,-6.73979979872976,0.235,21.0,0.2827220166015625,0.0365270456423648
27Oct2025,C,20Feb2026,116,400.0,268.8099975585937,0.0411,-6.529214580748883,0.09,4380.0,0.2807689111328124,0.0094012959133988
27Oct2025,C,17Apr2026,172,370.0,268.8099975585937,0.0411,-6.616309455551929,0.8200000000000001,103.0,0.2609937182617187,0.0564148230330869
27Oct2025,P,21Nov2025,25,295.0,268.8099975585937,0.0411,-6.818862104850379,26.75,10.0,0.2729564892578124,-0.8899623575054587
27Oct2025,C,07Nov2025,11,205.0,268.8099975585937,0.0409,-7.180535418559727,64.525,1.0,0.8754895263671875,0.9690588834555718
27Oct2025,C,14Nov2025,18,330.0,268.8099975585937,0.0409,-6.70558885434872,0.04,4.0,0.37695935546875,0.0085630199157457
27Oct2025,C,21Nov2025,25,335.0,268.8099975585937,0.0409,-6.691687088095291,0.035,62.0,0.33399103515625,0.0072914449124713
27Oct2025,C,28Nov2025,32,230.0,268.8099975585937,0.0409,-7.068874422108273,40.25,1.0,0.4759573889160156,0.8853819597512846
27Oct2025,C,19Dec2025,53,360.0,268.8099975585937,0.0409,-6.624258032914646,0.045,5.0,0.2929758203124999,0.0060811310103784
27Oct2025,C,16Jan2026,81,165.0,268.8099975585937,0.0409,-7.408961034908666,105.475,2.0,0.647464462890625,0.9626589579908214
27Oct2025,C,20Mar2026,144,195.0,268.8099975585937,0.0409,-7.2521319502454995,78.6,9.0,0.5123339782714844,0.8865857510542126
27Oct2025,C,15May2026,200,380.0,268.8099975585937,0.0409,-6.594049144977704,1.01,1.0,0.2672802764892578,0.0620920976761245
27Oct2025,C,18Jun2026,234,195.0,268.8099975585937,0.0409,-7.266739093102642,81.525,5.0,0.4401301104736328,0.87728181899028
27Oct2025,C,21Aug2026,298,340.0,268.8099975585937,0.0409,-6.721180335643484,6.449999999999999,2.0,0.2692333819580078,0.2398274862864449
27Oct2025,C,18Sep2026,326,165.0,268.8099975585937,0.0409,-7.448724923797554,111.25,9.0,0.5292405474853517,0.9030127211462504
27Oct2025,P,07Nov2025,11,300.0,268.8099975585937,0.0409,-6.799762923041934,30.9,1.0,0.4333552758789062,-0.9200217504893902
27Oct2025,P,14Nov2025,18,300.0,268.8099975585937,0.0409,-6.800899034153045,31.15,87.0,0.3549869189453124,-0.907836843756535
27Oct2025,P,28Nov2025,32,190.0,268.8099975585937,0.0409,-7.259929658870982,0.0849999999999999,1.0,0.5019581054687501,-0.007486691327438
27Oct2025,P,05Dec2025,39,280.0,268.8099975585937,0.0409,-6.87330023897333,14.8,8.0,0.2325516198730468,-0.6704047976169316
27Oct2025,P,19Dec2025,53,135.0,268.8099975585937,0.0409,-7.605087285926372,0.06,115.0,0.6816438085937502,-0.002521387929212
27Oct2025,P,16Jan2026,81,155.0,268.8099975585937,0.0409,-7.47148139189,0.075,1.0,0.4687553125,-0.0040865588357046
27Oct2025,P,20Feb2026,116,165.0,268.8099975585937,0.0409,-7.414641590464221,0.295,2.0,0.4116269775390625,-0.0114449181364497
27Oct2025,P,20Mar2026,144,125.0,268.8099975585937,0.0409,-7.696817771506946,0.145,16.0,0.5029346582031251,-0.0042331322326566
27Oct2025,P,17Apr2026,172,320.0,268.8099975585937,0.0409,-6.761354957459918,52.05,2.0,0.1832967413330077,-0.878854658773798
27Oct2025,P,15May2026,200,290.0,268.8099975585937,0.0409,-6.864339474717616,29.725,4.0,0.2156450506591797,-0.6006859343893298
27Oct2025,P,18Jun2026,234,215.0,268.8099975585937,0.0409,-7.169100623538727,5.025,305.0,0.2931589239501952,-0.1188668803929778
27Oct2025,P,21Aug2026,298,260.0,268.8099975585937,0.0409,-6.989444322238163,18.700000000000003,50.0,0.2420577503967285,-0.3392940773615116
27Oct2025,P,18Sep2026,326,220.0,268.8099975585937,0.0409,-7.161042851345774,8.274999999999999,3.0,0.2814097738647461,-0.1529724340390605
28Oct2025,C,07Nov2025,10,200.0,269.0,0.0407,-7.205764371401019,69.675,2.0,1.1391644604492188,0.9527484867355118
28Oct2025,C,21Nov2025,24,170.0,269.0,0.0407,-7.370544412009905,99.675,5.0,1.0473680444335938,0.9680569076381194
28Oct2025,C,19Dec2025,52,390.0,269.0,0.0407,-6.544718332158697,0.03,64.0,0.364264169921875,0.0047901195559643
28Oct2025,C,16Jan2026,80,120.0,269.0,0.0407,-7.727895550722565,150.64999999999998,2.0,0.930664755859375,0.9817361367762916
28Oct2025,C,20Feb2026,115,180.0,269.0,0.0407,-7.328083220392179,91.9,9.0,0.507817421875,0.9448629062277616
28Oct2025,C,15May2026,199,190.0,269.0,0.0407,-7.28758266578857,85.025,3.0,0.4731192825317383,0.8912966968127237
28Oct2025,C,21Aug2026,297,380.0,269.0,0.0407,-6.610263263006402,2.67,1.0,0.2695995892333984,0.1224668919857309
28Oct2025,C,18Sep2026,325,380.0,269.0,0.0407,-6.614785485228624,3.175,4.0,0.2689587265014648,0.1375276247166003
28Oct2025,P,07Nov2025,10,190.0,269.0,0.0407,-7.25705766578857,0.08,6.0,0.86914193359375,-0.0062712280813205
28Oct2025,P,14Nov2025,17,160.0,269.0,0.0407,-7.430038478270784,0.07,9.0,0.945313046875,-0.0039313193417406
28Oct2025,P,28Nov2025,31,300.0,269.0,0.0407,-6.803690929959521,30.925,6.0,0.3158027404785155,-0.8646682329041414
28Oct2025,P,19Dec2025,52,155.0,269.0,0.0407,-7.467439954363142,0.045,3.0,0.5449264257812501,-0.0024668165218846
28Oct2025,P,16Jan2026,80,315.0,269.0,0.0407,-6.762814654678978,45.775,4.0,0.2495802581787109,-0.888058545601719
28Oct2025,P,20Feb2026,115,170.0,269.0,0.0407,-7.385241634232127,0.31,74.0,0.4001524829101562,-0.0134641406732569
28Oct2025,P,20Mar2026,143,145.0,269.0,0.0407,-7.548828551084036,0.19,4.0,0.4482477050781249,-0.0082041607971184
28Oct2025,P,17Apr2026,171,185.0,269.0,0.0407,-7.309728690648509,1.16,5.0,0.3449772534179687,-0.0371933800132417
28Oct2025,P,15May2026,199,155.0,269.0,0.0407,-7.491181621029809,0.585,2.0,0.3934386828613281,-0.0170323992333717
28Oct2025,P,18Jun2026,233,100.0,269.0,0.0407,-7.934927821802234,0.14,30.0,0.5019581054687501,-0.003141054944089
28Oct2025,P,21Aug2026,297,200.0,269.0,0.0407,-7.252117149178797,4.449999999999999,2.0,0.3078072149658203,-0.0924892050663364
28Oct2025,P,18Sep2026,325,190.0,269.0,0.0407,-7.307932665788569,3.875,14.0,0.315863775024414,-0.0753392462960987
29Oct2025,C,14Nov2025,16,225.0,269.70001220703125,0.0403,-7.091523882343648,46.6,3.0,0.6750520776367189,0.9139196328535364
29Oct2025,C,21Nov2025,23,237.5,269.70001220703125,0.0403,-7.038576105517817,34.8,2.0,0.5236864038085938,0.8536497774209059
29Oct2025,C,28Nov2025,30,225.0,269.70001220703125,0.0403,-7.093762771232536,47.400000000000006,1.0,0.5290574438476563,0.9018893951917242
29Oct2025,C,19Dec2025,51,125.0,269.70001220703125,0.0403,-7.684907769467989,147.075,2.0,1.057133620605469,0.9845316609828604
29Oct2025,C,16Jan2026,79,170.0,269.70001220703125,0.0403,-7.381900847497806,102.85,5.0,0.6282996154785156,0.9603593541494042
29Oct2025,C,20Mar2026,142,185.0,269.70001220703125,0.0403,-7.307418459469743,90.175,1.0,0.5040332800292968,0.9201522483597492
29Oct2025,C,17Apr2026,170,205.0,269.70001220703125,0.0403,-7.209242083187437,72.525,1.0,0.4676566906738281,0.859447504127089
29Oct2025,C,15May2026,198,185.0,269.70001220703125,0.0403,-7.316374015025299,91.875,1.0,0.5246629565429688,0.8897642176519424
