dateraw,count
04Mar2026,787
05Mar2026,788
06Mar2026,792
09Mar2026,883
10Mar2026,743
11Mar2026,735
12Mar2026,769
13Mar2026,807
16Mar2026,797
17Mar2026,738
18Mar2026,750
19Mar2026,753
20Mar2026,777
23Mar2026,847
24Mar2026,719
25Mar2026,636
26Mar2026,711
27Mar2026,739
31Mar2026,833
01Apr2026,767
02Apr2026,702
06Apr2026,830
07Apr2026,974
08Apr2026,874
09Apr2026,763
10Apr2026,777
13Apr2026,852
14Apr2026,849
15Apr2026,900
16Apr2026,793
17Apr2026,883
20Apr2026,911
21Apr2026,940
22Apr2026,893
23Apr2026,816
24Apr2026,793
27Apr2026,885
28Apr2026,796
