dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
26Jan2026,C,06Feb2026,11,70.0,73.80999755859375,0.0379,-6.9624085927172,3.675,1.0,0.5590864404296876,0.7278602916656309
26Jan2026,C,06Feb2026,11,72.0,73.80999755859375,0.0379,-6.934237715750504,2.475,28.0,0.3105537695312499,0.6945083952228422
26Jan2026,C,06Feb2026,11,73.0,73.80999755859375,0.0379,-6.920444393618168,1.9,13.0,0.3037179003906249,0.6015313044339917
26Jan2026,C,06Feb2026,11,74.0,73.80999755859375,0.0379,-6.906838741562389,1.275,5.0,0.2793040820312499,0.49791668555692
26Jan2026,C,06Feb2026,11,75.0,73.80999755859375,0.0379,-6.893415721230249,0.9,11.0,0.2924875439453124,0.3946930137569732
26Jan2026,C,06Feb2026,11,76.0,73.80999755859375,0.0379,-6.880170494480228,0.575,1008.0,0.2871165039062499,0.2950184955795023
26Jan2026,C,06Feb2026,11,78.0,73.80999755859375,0.0379,-6.854195008076967,0.25,1.0,0.304694453125,0.1596705252682194
26Jan2026,C,06Feb2026,11,80.0,73.80999755859375,0.0379,-6.828877200092678,0.2,17.0,0.40820904296875,0.1389900061385462
26Jan2026,C,13Feb2026,18,72.0,73.80999755859375,0.0379,-6.9352904935282815,3.25,4.0,0.3598696826171874,0.6458059395456975
26Jan2026,C,13Feb2026,18,73.0,73.80999755859375,0.0379,-6.921497171395946,2.65,4.0,0.3476627734374999,0.5815023919302214
26Jan2026,C,13Feb2026,18,74.0,73.80999755859375,0.0379,-6.907891519340168,2.125,89.0,0.3483951879882812,0.5118118874885658
26Jan2026,C,13Feb2026,18,75.0,73.80999755859375,0.0379,-6.894468499008027,1.65,2.0,0.3391179370117187,0.440418686846852
26Jan2026,C,13Feb2026,18,77.0,73.80999755859375,0.0379,-6.868151190690653,0.95,38.0,0.3354558642578125,0.3065548092260786
26Jan2026,C,13Feb2026,18,78.0,73.80999755859375,0.0379,-6.855247785854745,0.7,2.0,0.3354558642578125,0.2486157775552631
26Jan2026,C,13Feb2026,18,82.0,73.80999755859375,0.0379,-6.805237365280084,0.3999999999999999,1.0,0.4653373779296875,0.171434715882201
26Jan2026,C,20Feb2026,25,45.0,73.80999755859375,0.0379,-7.406346900551795,28.2,5.0,1.3027378613281246,0.9483911877748084
26Jan2026,C,20Feb2026,25,50.0,73.80999755859375,0.0379,-7.300986384893968,24.25,20.0,0.96289099609375,0.953698242912856
26Jan2026,C,20Feb2026,25,55.0,73.80999755859375,0.0379,-7.205676205089644,19.45,8.0,0.842775009765625,0.9272658190622672
26Jan2026,C,20Feb2026,25,67.5,73.80999755859375,0.0379,-7.00088179244363,6.9,1.0,0.4262752685546875,0.810598199577647
26Jan2026,C,20Feb2026,25,72.0,73.80999755859375,0.0379,-6.936343271306059,3.35,10.0,0.3210517114257812,0.6437116156723859
26Jan2026,C,20Feb2026,25,72.5,73.80999755859375,0.0379,-6.929422828461486,3.25,21.0,0.3591372680664062,0.6045491188220434
26Jan2026,C,20Feb2026,25,74.0,73.80999755859375,0.0379,-6.908944297117944,2.325,16.0,0.335944140625,0.5176452485164478
26Jan2026,C,20Feb2026,25,75.0,73.80999755859375,0.0379,-6.895521276785804,1.75,96.0,0.30274134765625,0.448486826537754
26Jan2026,C,20Feb2026,25,76.0,73.80999755859375,0.0379,-6.882276050035784,1.4,13.0,0.3127510131835937,0.3879809768746032
26Jan2026,C,20Feb2026,25,77.0,73.80999755859375,0.0379,-6.869203968468431,1.15,30.0,0.3225165405273437,0.3342084216170549
26Jan2026,C,20Feb2026,25,77.5,73.80999755859375,0.0379,-6.862731453962813,0.925,27.0,0.2990792749023437,0.290832874116014
26Jan2026,C,20Feb2026,25,78.0,73.80999755859375,0.0379,-6.856300563632523,0.875,3.0,0.3181220532226562,0.2774677401495912
26Jan2026,C,20Feb2026,25,80.0,73.80999755859375,0.0379,-6.8309827556482325,0.425,250.0,0.3086006640625,0.177586170044166
26Jan2026,C,20Feb2026,25,81.0,73.80999755859375,0.0379,-6.818560235649676,0.425,2.0,0.3383855224609374,0.1645222502341549
26Jan2026,C,20Feb2026,25,85.0,73.80999755859375,0.0379,-6.770358133831798,0.2,15.0,0.3637758935546875,0.0795946399761711
26Jan2026,C,27Feb2026,32,69.0,73.80999755859375,0.0379,-6.979955663502633,5.5,1.0,0.41992767578125,0.7359356581721572
26Jan2026,C,27Feb2026,32,72.0,73.80999755859375,0.0379,-6.937396049083837,3.8,1.0,0.3559634716796874,0.6254357676297702
26Jan2026,C,27Feb2026,32,73.0,73.80999755859375,0.0379,-6.9236027269515015,3.1,1.0,0.3269110278320312,0.5779786800257735
26Jan2026,C,27Feb2026,32,75.0,73.80999755859375,0.0379,-6.896574054563581,2.125,1.0,0.3313055151367187,0.4680705816750962
26Jan2026,C,27Feb2026,32,77.0,73.80999755859375,0.0379,-6.870256746246208,1.3,6.0,0.3110420458984374,0.3529787719981955
26Jan2026,C,20Mar2026,53,45.0,73.80999755859375,0.0379,-7.410558011662906,29.05,1.0,0.7226590234375,0.9746853339064766
26Jan2026,C,20Mar2026,53,70.0,73.80999755859375,0.0379,-6.968725259383866,5.65,25.0,0.3342351733398437,0.699518366952006
26Jan2026,C,20Mar2026,53,72.5,73.80999755859375,0.0379,-6.933633939572597,3.9,16.0,0.2944406494140624,0.604400783921782
26Jan2026,C,20Mar2026,53,75.0,73.80999755859375,0.0379,-6.899732387896915,2.5250000000000004,92.0,0.2768627001953124,0.4813817139848769
26Jan2026,C,20Mar2026,53,77.5,73.80999755859375,0.0379,-6.866942565073924,1.6,32.0,0.2769847692871093,0.360439778710139
26Jan2026,C,20Mar2026,53,80.0,73.80999755859375,0.0379,-6.835193866759344,1.0,64.0,0.2812571874999999,0.2589869398276994
26Jan2026,C,20Mar2026,53,82.5,73.80999755859375,0.0379,-6.80442220809259,0.575,10.0,0.2719799365234374,0.1662658962670443
26Jan2026,C,20Mar2026,53,85.0,73.80999755859375,0.0379,-6.774569244942909,0.4000000000000001,6.0,0.3020089331054688,0.1311002018628592
