dateraw,count
04Mar2026,90
05Mar2026,60
06Mar2026,62
09Mar2026,71
10Mar2026,65
11Mar2026,44
12Mar2026,45
13Mar2026,47
16Mar2026,46
17Mar2026,44
18Mar2026,70
19Mar2026,62
20Mar2026,32
23Mar2026,53
24Mar2026,46
25Mar2026,41
26Mar2026,43
27Mar2026,49
31Mar2026,58
01Apr2026,47
02Apr2026,32
06Apr2026,55
07Apr2026,49
08Apr2026,56
09Apr2026,52
10Apr2026,53
13Apr2026,34
14Apr2026,61
15Apr2026,40
16Apr2026,41
17Apr2026,52
20Apr2026,54
21Apr2026,46
22Apr2026,71
23Apr2026,32
24Apr2026,49
27Apr2026,64
28Apr2026,59
