dateraw,count
26Jan2026,1135
27Jan2026,1028
28Jan2026,968
29Jan2026,918
30Jan2026,1172
02Feb2026,1312
03Feb2026,1124
04Feb2026,1315
05Feb2026,1097
06Feb2026,1016
09Feb2026,1060
10Feb2026,887
11Feb2026,898
12Feb2026,851
13Feb2026,834
17Feb2026,1015
18Feb2026,938
19Feb2026,756
20Feb2026,824
23Feb2026,927
24Feb2026,1068
25Feb2026,841
26Feb2026,766
27Feb2026,784
02Mar2026,920
03Mar2026,1031
04Mar2026,983
05Mar2026,808
06Mar2026,839
09Mar2026,917
10Mar2026,891
11Mar2026,877
12Mar2026,751
13Mar2026,806
16Mar2026,893
17Mar2026,806
18Mar2026,874
19Mar2026,791
20Mar2026,805
23Mar2026,858
24Mar2026,752
25Mar2026,953
26Mar2026,839
27Mar2026,835
30Mar2026,1060
31Mar2026,870
01Apr2026,973
02Apr2026,854
06Apr2026,926
07Apr2026,920
08Apr2026,1051
09Apr2026,906
10Apr2026,1020
13Apr2026,961
14Apr2026,1106
15Apr2026,1045
16Apr2026,1148
17Apr2026,1053
20Apr2026,1064
21Apr2026,1208
22Apr2026,1349
23Apr2026,1107
24Apr2026,1368
27Apr2026,1643
28Apr2026,1468
29Apr2026,1650
30Apr2026,1277
01May2026,1916
04May2026,1916
05May2026,1916
06May2026,1916
07May2026,1732
08May2026,1630
11May2026,1904
12May2026,1795
13May2026,1613
14May2026,1345
15May2026,1731
18May2026,1531
19May2026,1506
20May2026,1650
21May2026,1312
22May2026,1569
26May2026,1843
27May2026,1658
28May2026,1527
29May2026,1485
01Jun2026,1782
02Jun2026,1609
03Jun2026,1890
04Jun2026,1550
05Jun2026,1661
08Jun2026,1832
09Jun2026,1775
10Jun2026,1404
11Jun2026,1322
12Jun2026,1473
15Jun2026,1473
16Jun2026,1473
17Jun2026,1473
18Jun2026,1282
22Jun2026,1282
23Jun2026,1282
24Jun2026,1147
25Jun2026,1147
26Jun2026,1147
29Jun2026,1147
30Jun2026,1147
01Jul2026,1147
02Jul2026,1018
