dateraw,count
26Jan2026,912
27Jan2026,962
28Jan2026,910
29Jan2026,870
30Jan2026,1056
02Feb2026,1162
03Feb2026,957
04Feb2026,936
05Feb2026,994
06Feb2026,1079
09Feb2026,1113
10Feb2026,972
11Feb2026,977
12Feb2026,1011
13Feb2026,968
17Feb2026,945
18Feb2026,913
19Feb2026,764
20Feb2026,873
23Feb2026,959
24Feb2026,849
25Feb2026,812
26Feb2026,738
27Feb2026,768
02Mar2026,839
03Mar2026,860
04Mar2026,938
05Mar2026,821
06Mar2026,821
09Mar2026,871
10Mar2026,798
11Mar2026,802
12Mar2026,743
13Mar2026,796
16Mar2026,837
17Mar2026,827
18Mar2026,778
19Mar2026,718
20Mar2026,783
23Mar2026,860
24Mar2026,769
25Mar2026,750
26Mar2026,746
27Mar2026,851
30Mar2026,1017
31Mar2026,865
01Apr2026,864
02Apr2026,715
06Apr2026,784
07Apr2026,825
08Apr2026,970
09Apr2026,957
10Apr2026,951
13Apr2026,961
14Apr2026,1065
15Apr2026,952
16Apr2026,907
17Apr2026,952
20Apr2026,944
21Apr2026,990
22Apr2026,1014
23Apr2026,928
24Apr2026,1004
27Apr2026,1084
28Apr2026,961
29Apr2026,1149
30Apr2026,1002
01May2026,1215
04May2026,1215
05May2026,1215
06May2026,1215
07May2026,1110
08May2026,935
11May2026,942
12May2026,895
13May2026,874
14May2026,765
15May2026,977
18May2026,831
19May2026,872
20May2026,792
21May2026,722
22May2026,718
26May2026,834
27May2026,839
28May2026,782
29May2026,737
01Jun2026,939
02Jun2026,923
03Jun2026,1009
04Jun2026,820
05Jun2026,764
08Jun2026,990
09Jun2026,819
10Jun2026,737
11Jun2026,761
12Jun2026,777
15Jun2026,753
16Jun2026,753
17Jun2026,753
18Jun2026,692
22Jun2026,692
23Jun2026,692
24Jun2026,644
25Jun2026,644
26Jun2026,644
29Jun2026,644
30Jun2026,644
01Jul2026,644
02Jul2026,602
