dateraw,count
26Jan2026,554
27Jan2026,512
28Jan2026,510
29Jan2026,487
30Jan2026,506
03Feb2026,558
04Feb2026,550
05Feb2026,430
06Feb2026,444
09Feb2026,458
10Feb2026,499
11Feb2026,440
12Feb2026,426
13Feb2026,498
17Feb2026,460
18Feb2026,424
19Feb2026,386
20Feb2026,450
23Feb2026,403
24Feb2026,410
25Feb2026,445
26Feb2026,487
27Feb2026,457
02Mar2026,596
03Mar2026,647
04Mar2026,653
05Mar2026,561
06Mar2026,522
09Mar2026,587
10Mar2026,633
11Mar2026,563
12Mar2026,434
13Mar2026,458
16Mar2026,546
17Mar2026,501
18Mar2026,561
19Mar2026,711
20Mar2026,628
23Mar2026,652
24Mar2026,547
25Mar2026,555
26Mar2026,478
27Mar2026,519
31Mar2026,538
01Apr2026,509
02Apr2026,490
06Apr2026,453
07Apr2026,582
08Apr2026,581
09Apr2026,466
10Apr2026,512
13Apr2026,483
14Apr2026,607
15Apr2026,599
16Apr2026,617
17Apr2026,602
20Apr2026,512
21Apr2026,613
22Apr2026,537
23Apr2026,544
24Apr2026,504
27Apr2026,508
28Apr2026,510
30Apr2026,417
08May2026,507
11May2026,567
12May2026,555
13May2026,699
14May2026,533
15May2026,639
18May2026,514
19May2026,465
20May2026,461
21May2026,489
22May2026,465
26May2026,503
27May2026,516
28May2026,468
29May2026,475
01Jun2026,547
02Jun2026,573
03Jun2026,456
04Jun2026,391
05Jun2026,488
08Jun2026,573
09Jun2026,457
10Jun2026,465
11Jun2026,544
12Jun2026,453
