dateraw,count
26Jan2026,295
27Jan2026,277
28Jan2026,295
29Jan2026,294
30Jan2026,316
03Feb2026,335
04Feb2026,344
05Feb2026,290
06Feb2026,339
09Feb2026,303
10Feb2026,332
11Feb2026,325
12Feb2026,296
13Feb2026,298
17Feb2026,290
18Feb2026,277
19Feb2026,255
20Feb2026,247
23Feb2026,327
24Feb2026,336
25Feb2026,271
26Feb2026,216
27Feb2026,309
02Mar2026,332
03Mar2026,337
04Mar2026,332
05Mar2026,286
06Mar2026,322
09Mar2026,328
10Mar2026,293
11Mar2026,298
12Mar2026,276
13Mar2026,266
16Mar2026,278
17Mar2026,264
18Mar2026,276
19Mar2026,235
20Mar2026,246
23Mar2026,281
24Mar2026,265
25Mar2026,218
26Mar2026,221
27Mar2026,220
31Mar2026,299
01Apr2026,289
02Apr2026,251
06Apr2026,301
07Apr2026,317
08Apr2026,364
09Apr2026,281
10Apr2026,266
13Apr2026,282
14Apr2026,304
15Apr2026,318
16Apr2026,264
17Apr2026,267
20Apr2026,271
21Apr2026,306
22Apr2026,270
23Apr2026,257
24Apr2026,248
27Apr2026,274
28Apr2026,252
30Apr2026,267
08May2026,277
11May2026,300
12May2026,243
13May2026,269
14May2026,215
15May2026,331
18May2026,284
19May2026,273
20May2026,267
21May2026,217
22May2026,249
26May2026,297
27May2026,314
28May2026,261
29May2026,275
01Jun2026,345
02Jun2026,360
03Jun2026,340
04Jun2026,365
05Jun2026,292
08Jun2026,325
09Jun2026,292
10Jun2026,265
11Jun2026,258
12Jun2026,275
