dateraw,count
26Jan2026,686
27Jan2026,767
28Jan2026,615
29Jan2026,553
30Jan2026,607
03Feb2026,540
04Feb2026,482
05Feb2026,441
06Feb2026,541
09Feb2026,533
10Feb2026,494
11Feb2026,498
12Feb2026,474
13Feb2026,487
17Feb2026,498
18Feb2026,480
19Feb2026,472
20Feb2026,439
23Feb2026,487
24Feb2026,451
25Feb2026,469
26Feb2026,429
27Feb2026,439
02Mar2026,461
03Mar2026,572
04Mar2026,564
05Mar2026,523
06Mar2026,529
09Mar2026,549
10Mar2026,534
11Mar2026,620
12Mar2026,637
13Mar2026,503
16Mar2026,543
17Mar2026,545
18Mar2026,562
19Mar2026,647
20Mar2026,600
23Mar2026,600
24Mar2026,565
25Mar2026,471
26Mar2026,481
27Mar2026,556
31Mar2026,558
01Apr2026,602
02Apr2026,399
06Apr2026,493
07Apr2026,456
08Apr2026,612
09Apr2026,471
10Apr2026,365
13Apr2026,536
14Apr2026,565
15Apr2026,513
16Apr2026,496
17Apr2026,584
20Apr2026,478
21Apr2026,539
22Apr2026,657
23Apr2026,525
24Apr2026,498
27Apr2026,525
28Apr2026,478
30Apr2026,478
08May2026,522
11May2026,510
12May2026,518
13May2026,590
14May2026,568
15May2026,614
18May2026,533
19May2026,499
20May2026,509
21May2026,434
22May2026,372
26May2026,447
27May2026,473
28May2026,392
29May2026,413
01Jun2026,472
02Jun2026,535
03Jun2026,515
04Jun2026,389
05Jun2026,353
08Jun2026,393
09Jun2026,419
10Jun2026,388
11Jun2026,395
12Jun2026,307
