dateraw,count
26Jan2026,288
27Jan2026,290
28Jan2026,242
29Jan2026,236
30Jan2026,260
02Feb2026,374
03Feb2026,330
04Feb2026,305
05Feb2026,253
06Feb2026,271
09Feb2026,350
10Feb2026,324
11Feb2026,343
12Feb2026,411
13Feb2026,332
17Feb2026,287
18Feb2026,288
19Feb2026,251
20Feb2026,216
23Feb2026,243
24Feb2026,252
25Feb2026,241
26Feb2026,209
27Feb2026,225
02Mar2026,247
03Mar2026,287
04Mar2026,297
05Mar2026,263
06Mar2026,252
09Mar2026,295
10Mar2026,256
11Mar2026,222
12Mar2026,217
13Mar2026,228
16Mar2026,242
17Mar2026,234
18Mar2026,243
19Mar2026,200
20Mar2026,217
23Mar2026,254
24Mar2026,269
25Mar2026,257
26Mar2026,242
27Mar2026,245
30Mar2026,341
31Mar2026,283
01Apr2026,331
02Apr2026,246
06Apr2026,292
07Apr2026,296
08Apr2026,343
09Apr2026,279
10Apr2026,276
13Apr2026,255
14Apr2026,256
15Apr2026,258
16Apr2026,262
17Apr2026,304
20Apr2026,335
21Apr2026,373
22Apr2026,350
23Apr2026,288
24Apr2026,317
27Apr2026,305
28Apr2026,339
29Apr2026,427
30Apr2026,337
01May2026,470
04May2026,470
05May2026,470
06May2026,470
07May2026,419
08May2026,381
11May2026,398
12May2026,392
13May2026,426
14May2026,405
15May2026,571
18May2026,487
19May2026,445
20May2026,425
21May2026,356
22May2026,393
26May2026,506
27May2026,474
28May2026,370
29May2026,418
01Jun2026,458
02Jun2026,545
03Jun2026,486
04Jun2026,413
05Jun2026,412
08Jun2026,525
09Jun2026,449
10Jun2026,355
11Jun2026,323
12Jun2026,287
15Jun2026,287
16Jun2026,287
17Jun2026,287
18Jun2026,241
22Jun2026,241
23Jun2026,241
24Jun2026,211
25Jun2026,211
26Jun2026,211
29Jun2026,211
30Jun2026,211
01Jul2026,211
02Jul2026,198
