dateraw,count
26Jan2026,328
27Jan2026,349
28Jan2026,357
29Jan2026,274
30Jan2026,419
03Feb2026,349
04Feb2026,375
05Feb2026,329
06Feb2026,415
09Feb2026,452
10Feb2026,404
11Feb2026,378
12Feb2026,448
13Feb2026,382
17Feb2026,346
18Feb2026,368
19Feb2026,286
20Feb2026,253
23Feb2026,453
24Feb2026,397
25Feb2026,369
26Feb2026,292
27Feb2026,372
02Mar2026,360
03Mar2026,369
04Mar2026,346
05Mar2026,329
06Mar2026,395
09Mar2026,443
10Mar2026,358
11Mar2026,332
12Mar2026,295
13Mar2026,290
16Mar2026,302
17Mar2026,314
18Mar2026,320
19Mar2026,305
20Mar2026,323
23Mar2026,392
24Mar2026,370
25Mar2026,309
26Mar2026,260
27Mar2026,356
31Mar2026,394
01Apr2026,407
02Apr2026,298
06Apr2026,364
07Apr2026,379
08Apr2026,481
09Apr2026,389
10Apr2026,367
13Apr2026,455
14Apr2026,517
15Apr2026,440
16Apr2026,329
17Apr2026,395
20Apr2026,396
21Apr2026,449
22Apr2026,468
23Apr2026,354
24Apr2026,336
27Apr2026,378
28Apr2026,362
30Apr2026,351
08May2026,384
11May2026,374
12May2026,348
13May2026,352
14May2026,295
15May2026,335
18May2026,327
19May2026,328
20May2026,325
21May2026,244
22May2026,283
26May2026,360
27May2026,326
28May2026,298
29May2026,310
01Jun2026,352
02Jun2026,415
03Jun2026,314
04Jun2026,389
05Jun2026,298
08Jun2026,396
09Jun2026,345
10Jun2026,284
11Jun2026,303
12Jun2026,356
