dateraw,count
26Jan2026,302
27Jan2026,274
28Jan2026,282
29Jan2026,230
30Jan2026,360
03Feb2026,358
04Feb2026,372
05Feb2026,248
06Feb2026,271
09Feb2026,286
10Feb2026,345
11Feb2026,275
12Feb2026,361
13Feb2026,275
17Feb2026,296
18Feb2026,294
19Feb2026,244
20Feb2026,221
23Feb2026,299
24Feb2026,281
25Feb2026,248
26Feb2026,222
27Feb2026,234
02Mar2026,295
03Mar2026,307
04Mar2026,291
05Mar2026,279
06Mar2026,299
09Mar2026,337
10Mar2026,299
11Mar2026,297
12Mar2026,282
13Mar2026,264
16Mar2026,325
17Mar2026,290
18Mar2026,293
19Mar2026,272
20Mar2026,248
23Mar2026,341
24Mar2026,328
25Mar2026,295
26Mar2026,317
27Mar2026,318
31Mar2026,328
01Apr2026,339
02Apr2026,248
06Apr2026,281
07Apr2026,314
08Apr2026,351
09Apr2026,301
10Apr2026,274
13Apr2026,311
14Apr2026,333
15Apr2026,317
16Apr2026,268
17Apr2026,361
20Apr2026,338
21Apr2026,353
22Apr2026,335
23Apr2026,271
24Apr2026,275
27Apr2026,316
28Apr2026,298
30Apr2026,292
08May2026,290
11May2026,357
12May2026,291
13May2026,282
14May2026,222
15May2026,300
18May2026,277
19May2026,265
20May2026,275
21May2026,210
22May2026,201
26May2026,260
27May2026,229
28May2026,206
29May2026,228
01Jun2026,274
02Jun2026,280
03Jun2026,287
04Jun2026,240
05Jun2026,224
08Jun2026,308
09Jun2026,245
10Jun2026,174
11Jun2026,215
12Jun2026,207
