dateraw,count
26Jan2026,187
27Jan2026,180
28Jan2026,172
29Jan2026,139
30Jan2026,155
02Feb2026,200
03Feb2026,165
04Feb2026,155
05Feb2026,162
06Feb2026,143
09Feb2026,192
10Feb2026,187
11Feb2026,192
12Feb2026,207
13Feb2026,187
17Feb2026,181
18Feb2026,182
19Feb2026,147
20Feb2026,147
23Feb2026,155
24Feb2026,187
25Feb2026,175
26Feb2026,144
27Feb2026,145
02Mar2026,180
03Mar2026,195
04Mar2026,187
05Mar2026,170
06Mar2026,173
09Mar2026,195
10Mar2026,192
11Mar2026,208
12Mar2026,160
13Mar2026,181
16Mar2026,180
17Mar2026,176
18Mar2026,181
19Mar2026,160
20Mar2026,147
23Mar2026,192
24Mar2026,175
25Mar2026,160
26Mar2026,159
27Mar2026,173
30Mar2026,249
31Mar2026,208
01Apr2026,175
02Apr2026,160
06Apr2026,167
07Apr2026,179
08Apr2026,202
09Apr2026,167
10Apr2026,169
13Apr2026,178
14Apr2026,205
15Apr2026,194
16Apr2026,164
17Apr2026,179
20Apr2026,155
21Apr2026,173
22Apr2026,173
23Apr2026,138
24Apr2026,154
27Apr2026,172
28Apr2026,155
29Apr2026,192
30Apr2026,147
01May2026,208
04May2026,208
05May2026,208
06May2026,208
07May2026,192
08May2026,148
11May2026,201
12May2026,153
13May2026,246
14May2026,203
15May2026,294
18May2026,225
19May2026,201
20May2026,207
21May2026,206
22May2026,233
26May2026,271
27May2026,277
28May2026,241
29May2026,241
01Jun2026,364
02Jun2026,352
03Jun2026,311
04Jun2026,291
05Jun2026,268
08Jun2026,308
09Jun2026,305
10Jun2026,276
11Jun2026,256
12Jun2026,262
15Jun2026,262
16Jun2026,262
17Jun2026,262
18Jun2026,221
22Jun2026,221
23Jun2026,221
24Jun2026,175
25Jun2026,175
26Jun2026,175
29Jun2026,175
30Jun2026,175
01Jul2026,175
02Jul2026,141
