dateraw,count
26Jan2026,322
27Jan2026,322
28Jan2026,323
29Jan2026,246
30Jan2026,346
03Feb2026,298
04Feb2026,278
05Feb2026,214
06Feb2026,349
09Feb2026,294
10Feb2026,245
11Feb2026,247
12Feb2026,223
13Feb2026,252
17Feb2026,334
18Feb2026,294
19Feb2026,269
20Feb2026,302
23Feb2026,305
24Feb2026,338
25Feb2026,288
26Feb2026,233
27Feb2026,225
02Mar2026,319
03Mar2026,323
04Mar2026,296
05Mar2026,283
06Mar2026,296
09Mar2026,352
10Mar2026,307
11Mar2026,307
12Mar2026,338
13Mar2026,273
16Mar2026,289
17Mar2026,257
18Mar2026,251
19Mar2026,309
20Mar2026,283
23Mar2026,322
24Mar2026,286
25Mar2026,243
26Mar2026,275
27Mar2026,264
31Mar2026,314
01Apr2026,302
02Apr2026,243
06Apr2026,266
07Apr2026,275
08Apr2026,399
09Apr2026,273
10Apr2026,270
13Apr2026,263
14Apr2026,333
15Apr2026,285
16Apr2026,302
17Apr2026,291
20Apr2026,337
21Apr2026,498
22Apr2026,514
23Apr2026,353
24Apr2026,347
27Apr2026,366
28Apr2026,369
30Apr2026,315
08May2026,273
11May2026,316
12May2026,262
13May2026,280
14May2026,252
15May2026,339
18May2026,299
19May2026,248
20May2026,335
21May2026,239
22May2026,247
26May2026,353
27May2026,329
28May2026,280
29May2026,297
01Jun2026,327
02Jun2026,293
03Jun2026,245
04Jun2026,288
05Jun2026,248
08Jun2026,331
09Jun2026,281
10Jun2026,208
11Jun2026,228
12Jun2026,237
