dateraw,count
26Jan2026,246
27Jan2026,359
28Jan2026,255
29Jan2026,181
30Jan2026,246
02Feb2026,311
03Feb2026,197
04Feb2026,229
05Feb2026,151
06Feb2026,165
09Feb2026,235
10Feb2026,210
11Feb2026,200
12Feb2026,139
13Feb2026,134
17Feb2026,196
18Feb2026,203
19Feb2026,131
20Feb2026,130
23Feb2026,194
24Feb2026,172
25Feb2026,184
26Feb2026,145
27Feb2026,203
02Mar2026,241
03Mar2026,243
04Mar2026,207
05Mar2026,193
06Mar2026,193
09Mar2026,206
10Mar2026,180
11Mar2026,167
12Mar2026,131
13Mar2026,147
16Mar2026,175
17Mar2026,164
18Mar2026,151
19Mar2026,136
20Mar2026,151
23Mar2026,198
24Mar2026,155
25Mar2026,162
26Mar2026,159
27Mar2026,184
30Mar2026,261
31Mar2026,191
01Apr2026,180
02Apr2026,185
06Apr2026,191
07Apr2026,178
08Apr2026,211
09Apr2026,165
10Apr2026,155
13Apr2026,173
14Apr2026,219
15Apr2026,158
16Apr2026,135
17Apr2026,215
20Apr2026,171
21Apr2026,179
22Apr2026,170
23Apr2026,153
24Apr2026,171
27Apr2026,214
28Apr2026,257
29Apr2026,290
30Apr2026,164
01May2026,216
04May2026,216
05May2026,216
06May2026,216
07May2026,180
08May2026,129
11May2026,183
12May2026,137
13May2026,162
14May2026,169
15May2026,217
18May2026,200
19May2026,198
20May2026,180
21May2026,124
22May2026,172
26May2026,182
27May2026,287
28May2026,171
29May2026,169
01Jun2026,197
02Jun2026,187
03Jun2026,191
04Jun2026,165
05Jun2026,143
08Jun2026,234
09Jun2026,192
10Jun2026,152
11Jun2026,125
12Jun2026,102
15Jun2026,102
16Jun2026,102
17Jun2026,102
18Jun2026,81
22Jun2026,81
23Jun2026,81
24Jun2026,72
25Jun2026,72
26Jun2026,72
29Jun2026,72
30Jun2026,72
01Jul2026,72
02Jul2026,64
