dateraw,count
04Mar2026,795
05Mar2026,775
06Mar2026,791
09Mar2026,821
10Mar2026,745
11Mar2026,703
12Mar2026,649
13Mar2026,647
16Mar2026,697
17Mar2026,723
18Mar2026,644
19Mar2026,624
20Mar2026,743
23Mar2026,768
24Mar2026,856
25Mar2026,715
26Mar2026,853
27Mar2026,864
31Mar2026,890
01Apr2026,915
02Apr2026,681
06Apr2026,725
07Apr2026,835
08Apr2026,1027
09Apr2026,806
10Apr2026,769
13Apr2026,845
14Apr2026,983
15Apr2026,934
16Apr2026,798
17Apr2026,927
20Apr2026,862
21Apr2026,849
22Apr2026,897
23Apr2026,787
24Apr2026,856
