dateraw,count
26Jan2026,845
27Jan2026,797
28Jan2026,850
29Jan2026,674
30Jan2026,811
02Feb2026,902
03Feb2026,749
04Feb2026,743
05Feb2026,653
06Feb2026,697
09Feb2026,764
10Feb2026,752
11Feb2026,672
12Feb2026,590
13Feb2026,608
17Feb2026,620
18Feb2026,658
19Feb2026,593
20Feb2026,639
23Feb2026,658
24Feb2026,688
25Feb2026,699
26Feb2026,545
27Feb2026,567
02Mar2026,653
03Mar2026,694
04Mar2026,672
05Mar2026,543
06Mar2026,608
09Mar2026,648
10Mar2026,681
11Mar2026,693
12Mar2026,580
13Mar2026,554
16Mar2026,672
17Mar2026,677
18Mar2026,633
19Mar2026,568
20Mar2026,638
23Mar2026,625
24Mar2026,611
25Mar2026,638
26Mar2026,598
27Mar2026,609
30Mar2026,765
31Mar2026,687
01Apr2026,753
02Apr2026,694
06Apr2026,697
07Apr2026,736
08Apr2026,821
09Apr2026,709
10Apr2026,686
13Apr2026,918
14Apr2026,892
15Apr2026,843
16Apr2026,801
17Apr2026,813
20Apr2026,871
21Apr2026,879
22Apr2026,927
23Apr2026,856
24Apr2026,993
27Apr2026,1041
28Apr2026,947
29Apr2026,1062
30Apr2026,857
01May2026,1584
04May2026,1584
05May2026,1584
06May2026,1584
07May2026,1478
08May2026,1381
11May2026,1415
12May2026,1448
13May2026,1230
14May2026,1145
15May2026,1397
18May2026,1218
19May2026,1232
20May2026,1228
21May2026,1001
22May2026,1052
26May2026,1174
27May2026,1124
28May2026,969
29May2026,1017
01Jun2026,1160
02Jun2026,1080
03Jun2026,1056
04Jun2026,874
05Jun2026,1044
08Jun2026,1157
09Jun2026,1079
10Jun2026,862
11Jun2026,955
12Jun2026,963
15Jun2026,963
16Jun2026,963
17Jun2026,963
18Jun2026,849
22Jun2026,849
23Jun2026,849
24Jun2026,755
25Jun2026,755
26Jun2026,755
29Jun2026,755
30Jun2026,755
01Jul2026,755
02Jul2026,668
