dateraw,count
26Jan2026,508
27Jan2026,494
28Jan2026,470
29Jan2026,430
30Jan2026,509
02Feb2026,647
03Feb2026,523
04Feb2026,497
05Feb2026,452
06Feb2026,555
09Feb2026,509
10Feb2026,532
11Feb2026,492
12Feb2026,497
13Feb2026,456
17Feb2026,443
18Feb2026,468
19Feb2026,423
20Feb2026,400
23Feb2026,533
24Feb2026,551
25Feb2026,475
26Feb2026,393
27Feb2026,474
02Mar2026,462
03Mar2026,586
04Mar2026,544
05Mar2026,498
06Mar2026,564
09Mar2026,566
10Mar2026,471
11Mar2026,519
12Mar2026,490
13Mar2026,448
16Mar2026,465
17Mar2026,417
18Mar2026,416
19Mar2026,412
20Mar2026,411
23Mar2026,477
24Mar2026,461
25Mar2026,421
26Mar2026,361
27Mar2026,431
30Mar2026,597
31Mar2026,494
01Apr2026,472
02Apr2026,419
06Apr2026,419
07Apr2026,439
08Apr2026,538
09Apr2026,402
10Apr2026,425
13Apr2026,452
14Apr2026,503
15Apr2026,466
16Apr2026,373
17Apr2026,414
20Apr2026,461
21Apr2026,485
22Apr2026,437
23Apr2026,354
24Apr2026,407
27Apr2026,405
28Apr2026,377
29Apr2026,537
30Apr2026,412
01May2026,591
04May2026,591
05May2026,591
06May2026,591
07May2026,533
08May2026,434
11May2026,429
12May2026,426
13May2026,377
14May2026,317
15May2026,423
18May2026,354
19May2026,357
20May2026,368
21May2026,303
22May2026,331
26May2026,366
27May2026,420
28May2026,359
29May2026,345
01Jun2026,412
02Jun2026,398
03Jun2026,377
04Jun2026,430
05Jun2026,401
08Jun2026,493
09Jun2026,425
10Jun2026,304
11Jun2026,311
12Jun2026,401
15Jun2026,401
16Jun2026,401
17Jun2026,401
18Jun2026,367
22Jun2026,367
23Jun2026,367
24Jun2026,341
25Jun2026,341
26Jun2026,341
29Jun2026,341
30Jun2026,341
01Jul2026,341
02Jul2026,315
