dateraw,count
04Mar2026,1448
05Mar2026,1188
06Mar2026,1266
09Mar2026,1551
10Mar2026,1314
11Mar2026,1234
12Mar2026,1235
13Mar2026,1663
16Mar2026,1640
17Mar2026,1442
18Mar2026,1395
19Mar2026,1404
20Mar2026,1546
23Mar2026,1572
24Mar2026,1416
25Mar2026,1238
26Mar2026,1792
27Mar2026,1774
31Mar2026,1742
01Apr2026,1709
02Apr2026,1393
06Apr2026,1468
07Apr2026,1497
08Apr2026,1941
09Apr2026,1664
10Apr2026,1580
13Apr2026,1706
14Apr2026,2023
15Apr2026,1942
16Apr2026,1629
17Apr2026,1705
20Apr2026,1848
21Apr2026,1710
