dateraw,count
26Jan2026,1179
27Jan2026,1291
28Jan2026,1211
29Jan2026,1495
30Jan2026,1618
02Feb2026,1703
03Feb2026,1467
04Feb2026,1286
05Feb2026,1361
06Feb2026,1324
09Feb2026,1405
10Feb2026,1215
11Feb2026,1236
12Feb2026,1287
13Feb2026,1245
17Feb2026,1275
18Feb2026,1211
19Feb2026,1123
20Feb2026,1160
23Feb2026,1500
24Feb2026,1351
25Feb2026,1297
26Feb2026,1095
27Feb2026,1132
02Mar2026,1220
03Mar2026,1286
04Mar2026,1253
05Mar2026,1116
06Mar2026,1045
09Mar2026,1211
10Mar2026,1095
11Mar2026,1142
12Mar2026,966
13Mar2026,1146
16Mar2026,1202
17Mar2026,1095
18Mar2026,1185
19Mar2026,1163
20Mar2026,1234
23Mar2026,1301
24Mar2026,1353
25Mar2026,1200
26Mar2026,1218
27Mar2026,1288
30Mar2026,1539
31Mar2026,1309
01Apr2026,1183
02Apr2026,1098
06Apr2026,1098
07Apr2026,1146
08Apr2026,1242
09Apr2026,1167
10Apr2026,1123
13Apr2026,1368
14Apr2026,1312
15Apr2026,1421
16Apr2026,1260
17Apr2026,1290
20Apr2026,1196
21Apr2026,1326
22Apr2026,1349
23Apr2026,1236
24Apr2026,1163
27Apr2026,1317
28Apr2026,1242
29Apr2026,1474
30Apr2026,1265
01May2026,1498
04May2026,1498
05May2026,1498
06May2026,1498
07May2026,1370
08May2026,1081
11May2026,1105
12May2026,993
13May2026,1046
14May2026,926
15May2026,1334
18May2026,1052
19May2026,1047
20May2026,1048
21May2026,897
22May2026,880
26May2026,1042
27May2026,1031
28May2026,1034
29May2026,1148
01Jun2026,1437
02Jun2026,1236
03Jun2026,1178
04Jun2026,1000
05Jun2026,1028
08Jun2026,1421
09Jun2026,1252
10Jun2026,1039
11Jun2026,1204
12Jun2026,1088
15Jun2026,1059
16Jun2026,1059
17Jun2026,1059
18Jun2026,973
22Jun2026,973
23Jun2026,973
24Jun2026,900
25Jun2026,900
26Jun2026,900
29Jun2026,900
30Jun2026,900
01Jul2026,900
02Jul2026,832
