dateraw,count
26Jan2026,245
27Jan2026,229
28Jan2026,229
29Jan2026,256
30Jan2026,239
03Feb2026,257
04Feb2026,218
05Feb2026,235
06Feb2026,228
09Feb2026,194
10Feb2026,264
11Feb2026,196
12Feb2026,263
13Feb2026,231
17Feb2026,198
18Feb2026,242
19Feb2026,200
20Feb2026,160
23Feb2026,255
24Feb2026,245
25Feb2026,230
26Feb2026,171
27Feb2026,255
02Mar2026,241
03Mar2026,268
04Mar2026,233
05Mar2026,241
06Mar2026,260
09Mar2026,270
10Mar2026,200
11Mar2026,209
12Mar2026,276
13Mar2026,208
16Mar2026,220
17Mar2026,223
18Mar2026,199
19Mar2026,169
20Mar2026,230
23Mar2026,221
24Mar2026,204
25Mar2026,164
26Mar2026,155
27Mar2026,202
31Mar2026,204
01Apr2026,211
02Apr2026,195
06Apr2026,180
07Apr2026,250
08Apr2026,299
09Apr2026,222
10Apr2026,227
13Apr2026,237
14Apr2026,276
15Apr2026,352
16Apr2026,235
17Apr2026,250
20Apr2026,228
21Apr2026,239
22Apr2026,241
23Apr2026,211
24Apr2026,211
27Apr2026,226
28Apr2026,237
30Apr2026,233
08May2026,179
11May2026,191
12May2026,177
13May2026,210
14May2026,175
15May2026,217
18May2026,165
19May2026,192
20May2026,224
21May2026,207
22May2026,227
26May2026,227
27May2026,208
28May2026,224
29May2026,309
01Jun2026,273
02Jun2026,304
03Jun2026,256
04Jun2026,271
05Jun2026,226
08Jun2026,286
09Jun2026,253
10Jun2026,179
11Jun2026,157
12Jun2026,176
