dateraw,count
26Jan2026,1180
27Jan2026,1223
28Jan2026,1228
29Jan2026,1200
30Jan2026,1426
02Feb2026,1617
03Feb2026,1392
04Feb2026,1361
05Feb2026,1252
06Feb2026,1272
09Feb2026,1403
10Feb2026,1139
11Feb2026,1167
12Feb2026,1230
13Feb2026,1242
17Feb2026,1265
18Feb2026,1206
19Feb2026,1084
20Feb2026,1180
23Feb2026,1269
24Feb2026,1276
25Feb2026,1450
26Feb2026,1340
27Feb2026,1297
02Mar2026,1260
03Mar2026,1250
04Mar2026,1248
05Mar2026,1163
06Mar2026,1146
09Mar2026,1270
10Mar2026,1208
11Mar2026,1157
12Mar2026,1081
13Mar2026,1059
16Mar2026,1368
17Mar2026,1193
18Mar2026,1159
19Mar2026,1245
20Mar2026,1337
23Mar2026,1365
24Mar2026,1218
25Mar2026,1198
26Mar2026,1344
27Mar2026,1417
30Mar2026,1645
31Mar2026,1362
01Apr2026,1367
02Apr2026,1186
06Apr2026,1190
07Apr2026,1247
08Apr2026,1360
09Apr2026,1214
10Apr2026,1361
13Apr2026,1300
14Apr2026,1411
15Apr2026,1466
16Apr2026,1284
17Apr2026,1389
20Apr2026,1308
21Apr2026,1286
22Apr2026,1306
23Apr2026,1236
24Apr2026,1480
27Apr2026,1585
28Apr2026,1429
29Apr2026,1628
30Apr2026,1382
01May2026,1745
04May2026,1745
05May2026,1745
06May2026,1745
07May2026,1659
08May2026,1494
11May2026,1564
12May2026,1467
13May2026,1553
14May2026,1516
15May2026,1795
18May2026,1552
19May2026,1429
20May2026,1510
21May2026,1319
22May2026,1341
26May2026,1419
27May2026,1388
28May2026,1226
29May2026,1277
01Jun2026,1533
02Jun2026,1384
03Jun2026,1410
04Jun2026,1274
05Jun2026,1369
08Jun2026,1503
09Jun2026,1345
10Jun2026,1119
11Jun2026,1089
12Jun2026,1033
15Jun2026,1006
16Jun2026,1006
17Jun2026,1006
18Jun2026,932
22Jun2026,932
23Jun2026,932
24Jun2026,879
25Jun2026,879
26Jun2026,879
29Jun2026,879
30Jun2026,879
01Jul2026,879
02Jul2026,822
