dateraw,count
26Jan2026,5535
27Jan2026,5367
28Jan2026,4779
29Jan2026,5532
30Jan2026,6021
02Feb2026,7661
03Feb2026,6046
04Feb2026,5582
05Feb2026,5667
06Feb2026,5600
09Feb2026,6390
10Feb2026,5150
11Feb2026,5038
12Feb2026,6114
13Feb2026,5986
17Feb2026,6201
18Feb2026,5892
19Feb2026,5086
20Feb2026,5569
23Feb2026,6035
24Feb2026,5713
25Feb2026,5818
26Feb2026,5374
27Feb2026,5445
02Mar2026,6188
03Mar2026,6773
04Mar2026,5576
05Mar2026,5719
06Mar2026,6134
09Mar2026,7172
10Mar2026,6421
11Mar2026,5799
12Mar2026,6017
13Mar2026,6493
16Mar2026,6821
17Mar2026,6212
18Mar2026,6400
19Mar2026,6678
20Mar2026,7162
23Mar2026,6939
24Mar2026,6139
25Mar2026,5763
26Mar2026,6659
27Mar2026,7373
30Mar2026,9407
31Mar2026,7674
01Apr2026,6992
02Apr2026,6036
06Apr2026,6309
07Apr2026,6338
08Apr2026,7965
09Apr2026,6579
10Apr2026,6041
13Apr2026,7164
14Apr2026,8028
15Apr2026,7321
16Apr2026,6366
17Apr2026,7325
20Apr2026,7028
21Apr2026,7252
22Apr2026,6413
23Apr2026,6317
24Apr2026,6337
27Apr2026,6612
28Apr2026,6013
29Apr2026,8155
30Apr2026,6720
01May2026,9697
04May2026,9286
05May2026,9111
06May2026,8935
07May2026,8458
08May2026,6430
11May2026,6844
12May2026,6297
13May2026,6245
14May2026,6300
15May2026,7612
18May2026,6338
19May2026,6198
20May2026,5855
21May2026,5506
22May2026,6059
26May2026,6650
27May2026,5721
28May2026,5790
29May2026,5731
01Jun2026,6360
02Jun2026,5488
03Jun2026,5253
04Jun2026,5157
05Jun2026,6258
08Jun2026,7290
09Jun2026,6591
10Jun2026,5699
11Jun2026,5643
12Jun2026,5607
15Jun2026,5157
16Jun2026,4974
17Jun2026,4807
18Jun2026,4519
22Jun2026,3993
23Jun2026,3860
24Jun2026,3643
25Jun2026,3643
26Jun2026,3643
29Jun2026,3445
30Jun2026,3388
01Jul2026,3316
02Jul2026,3135
