dateraw,count
26Jan2026,1932
27Jan2026,1807
28Jan2026,1862
29Jan2026,1971
30Jan2026,2403
02Feb2026,2506
03Feb2026,1890
04Feb2026,2135
05Feb2026,1972
06Feb2026,1816
09Feb2026,1883
10Feb2026,1673
11Feb2026,1717
12Feb2026,1801
13Feb2026,1787
17Feb2026,1881
18Feb2026,1764
19Feb2026,1579
20Feb2026,1630
23Feb2026,2103
24Feb2026,1848
25Feb2026,1766
26Feb2026,1539
27Feb2026,1665
02Mar2026,1799
03Mar2026,1909
04Mar2026,1786
05Mar2026,1520
06Mar2026,1577
09Mar2026,1909
10Mar2026,1659
11Mar2026,1709
12Mar2026,1565
13Mar2026,1567
16Mar2026,1769
17Mar2026,1741
18Mar2026,1680
19Mar2026,1754
20Mar2026,1826
23Mar2026,1922
24Mar2026,1631
25Mar2026,1535
26Mar2026,1630
27Mar2026,1848
30Mar2026,2235
31Mar2026,1846
01Apr2026,1844
02Apr2026,1895
06Apr2026,2034
07Apr2026,2056
08Apr2026,1923
09Apr2026,1644
10Apr2026,1582
13Apr2026,1631
14Apr2026,1774
15Apr2026,2041
16Apr2026,1652
17Apr2026,1811
20Apr2026,1878
21Apr2026,1694
22Apr2026,1792
23Apr2026,1839
24Apr2026,1600
27Apr2026,1886
28Apr2026,1526
29Apr2026,1873
30Apr2026,1502
01May2026,2303
04May2026,2303
05May2026,2303
06May2026,2303
07May2026,2130
08May2026,1997
11May2026,2125
12May2026,1801
13May2026,1887
14May2026,1625
15May2026,2094
18May2026,1842
19May2026,1716
20May2026,1618
21May2026,1529
22May2026,1554
26May2026,1715
27May2026,1760
28May2026,1467
29May2026,1533
01Jun2026,1933
02Jun2026,1724
03Jun2026,1736
04Jun2026,1561
05Jun2026,1822
08Jun2026,2121
09Jun2026,1795
10Jun2026,1547
11Jun2026,1445
12Jun2026,1570
15Jun2026,1536
16Jun2026,1536
17Jun2026,1536
18Jun2026,1392
22Jun2026,1392
23Jun2026,1392
24Jun2026,1272
25Jun2026,1272
26Jun2026,1272
29Jun2026,1272
30Jun2026,1272
01Jul2026,1272
02Jul2026,1168
