dateraw,count
26Jan2026,236
27Jan2026,240
28Jan2026,227
29Jan2026,222
30Jan2026,253
03Feb2026,224
04Feb2026,230
05Feb2026,196
06Feb2026,200
09Feb2026,236
10Feb2026,236
11Feb2026,276
12Feb2026,260
13Feb2026,238
17Feb2026,266
18Feb2026,264
19Feb2026,206
20Feb2026,211
23Feb2026,247
24Feb2026,222
25Feb2026,247
26Feb2026,212
27Feb2026,191
02Mar2026,232
03Mar2026,236
04Mar2026,239
05Mar2026,193
06Mar2026,200
09Mar2026,246
10Mar2026,221
11Mar2026,279
12Mar2026,200
13Mar2026,210
16Mar2026,194
17Mar2026,210
18Mar2026,195
19Mar2026,193
20Mar2026,241
23Mar2026,252
24Mar2026,256
25Mar2026,195
26Mar2026,207
27Mar2026,217
31Mar2026,208
01Apr2026,248
02Apr2026,215
06Apr2026,208
07Apr2026,231
08Apr2026,266
09Apr2026,235
10Apr2026,222
13Apr2026,275
14Apr2026,256
15Apr2026,243
16Apr2026,209
17Apr2026,202
20Apr2026,214
21Apr2026,220
22Apr2026,266
23Apr2026,204
24Apr2026,190
27Apr2026,220
28Apr2026,212
30Apr2026,163
08May2026,150
11May2026,180
12May2026,175
13May2026,171
14May2026,151
15May2026,204
18May2026,186
19May2026,177
20May2026,190
21May2026,153
22May2026,148
26May2026,179
27May2026,171
28May2026,162
29May2026,180
01Jun2026,189
02Jun2026,199
03Jun2026,226
04Jun2026,233
05Jun2026,187
08Jun2026,259
09Jun2026,197
10Jun2026,176
11Jun2026,157
12Jun2026,180
