dateraw,count
26Jan2026,278
27Jan2026,269
28Jan2026,258
29Jan2026,283
30Jan2026,335
02Feb2026,452
03Feb2026,361
04Feb2026,330
05Feb2026,303
06Feb2026,310
09Feb2026,352
10Feb2026,317
11Feb2026,316
12Feb2026,328
13Feb2026,290
17Feb2026,256
18Feb2026,274
19Feb2026,245
20Feb2026,241
23Feb2026,366
24Feb2026,370
25Feb2026,290
26Feb2026,212
27Feb2026,375
02Mar2026,363
03Mar2026,344
04Mar2026,294
05Mar2026,263
06Mar2026,320
09Mar2026,389
10Mar2026,301
11Mar2026,366
12Mar2026,316
13Mar2026,309
16Mar2026,323
17Mar2026,293
18Mar2026,248
19Mar2026,249
20Mar2026,276
23Mar2026,319
24Mar2026,301
25Mar2026,240
26Mar2026,233
27Mar2026,255
30Mar2026,374
31Mar2026,294
01Apr2026,317
02Apr2026,266
06Apr2026,287
07Apr2026,264
08Apr2026,356
09Apr2026,277
10Apr2026,266
13Apr2026,344
14Apr2026,430
15Apr2026,370
16Apr2026,283
17Apr2026,294
20Apr2026,294
21Apr2026,302
22Apr2026,316
23Apr2026,278
24Apr2026,287
27Apr2026,277
28Apr2026,259
29Apr2026,338
30Apr2026,256
01May2026,413
04May2026,413
05May2026,413
06May2026,413
07May2026,368
08May2026,332
11May2026,385
12May2026,345
13May2026,345
14May2026,301
15May2026,335
18May2026,275
19May2026,273
20May2026,275
21May2026,235
22May2026,261
26May2026,322
27May2026,294
28May2026,253
29May2026,245
01Jun2026,286
02Jun2026,331
03Jun2026,259
04Jun2026,336
05Jun2026,256
08Jun2026,274
09Jun2026,257
10Jun2026,222
11Jun2026,221
12Jun2026,241
15Jun2026,241
16Jun2026,241
17Jun2026,241
18Jun2026,210
22Jun2026,210
23Jun2026,210
24Jun2026,186
25Jun2026,186
26Jun2026,186
29Jun2026,186
30Jun2026,186
01Jul2026,186
02Jul2026,167
