dateraw,count
26Jan2026,383
27Jan2026,395
28Jan2026,371
29Jan2026,364
30Jan2026,448
02Feb2026,511
03Feb2026,436
04Feb2026,403
05Feb2026,344
06Feb2026,378
09Feb2026,435
10Feb2026,420
11Feb2026,544
12Feb2026,422
13Feb2026,382
17Feb2026,412
18Feb2026,400
19Feb2026,342
20Feb2026,351
23Feb2026,362
24Feb2026,351
25Feb2026,331
26Feb2026,308
27Feb2026,351
02Mar2026,487
03Mar2026,421
04Mar2026,414
05Mar2026,336
06Mar2026,364
09Mar2026,458
10Mar2026,411
11Mar2026,400
12Mar2026,375
13Mar2026,389
16Mar2026,417
17Mar2026,429
18Mar2026,384
19Mar2026,356
20Mar2026,414
23Mar2026,434
24Mar2026,457
25Mar2026,342
26Mar2026,358
27Mar2026,427
30Mar2026,560
31Mar2026,483
01Apr2026,499
02Apr2026,409
06Apr2026,428
07Apr2026,434
08Apr2026,551
09Apr2026,409
10Apr2026,391
13Apr2026,415
14Apr2026,439
15Apr2026,392
16Apr2026,340
17Apr2026,425
20Apr2026,372
21Apr2026,372
22Apr2026,393
23Apr2026,306
24Apr2026,342
27Apr2026,367
28Apr2026,355
29Apr2026,445
30Apr2026,340
01May2026,435
04May2026,435
05May2026,435
06May2026,435
07May2026,381
08May2026,310
11May2026,323
12May2026,306
13May2026,306
14May2026,277
15May2026,402
18May2026,352
19May2026,345
20May2026,332
21May2026,244
22May2026,265
26May2026,335
27May2026,332
28May2026,266
29May2026,304
01Jun2026,350
02Jun2026,295
03Jun2026,349
04Jun2026,263
05Jun2026,249
08Jun2026,274
09Jun2026,303
10Jun2026,245
11Jun2026,257
12Jun2026,255
15Jun2026,255
16Jun2026,255
17Jun2026,255
18Jun2026,231
22Jun2026,231
23Jun2026,231
24Jun2026,219
25Jun2026,219
26Jun2026,219
29Jun2026,219
30Jun2026,219
01Jul2026,219
02Jul2026,203
