date,_TEMG001
04JAN1996,47
05JAN1996,50
08JAN1996,37
09JAN1996,47
10JAN1996,50
11JAN1996,64
12JAN1996,47
15JAN1996,43
16JAN1996,42
17JAN1996,40
18JAN1996,47
19JAN1996,52
22JAN1996,52
23JAN1996,63
24JAN1996,58
25JAN1996,59
26JAN1996,62
29JAN1996,54
30JAN1996,48
31JAN1996,54
01FEB1996,53
02FEB1996,60
05FEB1996,50
06FEB1996,47
07FEB1996,49
08FEB1996,56
09FEB1996,32
12FEB1996,35
13FEB1996,39
14FEB1996,31
15FEB1996,31
16FEB1996,34
20FEB1996,42
21FEB1996,40
22FEB1996,42
23FEB1996,36
26FEB1996,24
27FEB1996,16
28FEB1996,34
29FEB1996,28
01MAR1996,31
04MAR1996,34
05MAR1996,32
06MAR1996,20
07MAR1996,32
08MAR1996,28
11MAR1996,8
12MAR1996,21
13MAR1996,23
14MAR1996,10
15MAR1996,12
18MAR1996,26
19MAR1996,18
20MAR1996,21
21MAR1996,25
22MAR1996,30
25MAR1996,39
26MAR1996,32
27MAR1996,41
28MAR1996,35
29MAR1996,15
01APR1996,26
02APR1996,9
03APR1996,20
04APR1996,16
08APR1996,19
09APR1996,30
10APR1996,14
11APR1996,19
12APR1996,11
15APR1996,8
16APR1996,22
17APR1996,24
18APR1996,29
19APR1996,24
22APR1996,25
23APR1996,23
24APR1996,10
25APR1996,15
26APR1996,17
29APR1996,12
30APR1996,22
01MAY1996,8
02MAY1996,25
03MAY1996,14
06MAY1996,25
07MAY1996,24
08MAY1996,22
09MAY1996,23
10MAY1996,28
13MAY1996,31
14MAY1996,30
15MAY1996,38
16MAY1996,26
17MAY1996,24
20MAY1996,24
21MAY1996,23
22MAY1996,37
23MAY1996,20
24MAY1996,14
28MAY1996,9
29MAY1996,28
30MAY1996,20
31MAY1996,15
03JUN1996,22
04JUN1996,33
05JUN1996,35
06JUN1996,28
07JUN1996,26
10JUN1996,26
11JUN1996,21
12JUN1996,28
13JUN1996,19
14JUN1996,23
17JUN1996,16
18JUN1996,28
19JUN1996,24
20JUN1996,21
21JUN1996,30
24JUN1996,28
25JUN1996,35
26JUN1996,33
27JUN1996,36
28JUN1996,26
01JUL1996,40
02JUL1996,20
03JUL1996,40
05JUL1996,23
08JUL1996,33
09JUL1996,31
10JUL1996,23
11JUL1996,38
12JUL1996,23
15JUL1996,31
16JUL1996,35
17JUL1996,31
18JUL1996,55
19JUL1996,40
22JUL1996,31
23JUL1996,30
24JUL1996,30
25JUL1996,23
26JUL1996,31
29JUL1996,41
30JUL1996,20
31JUL1996,15
01AUG1996,16
02AUG1996,24
05AUG1996,15
06AUG1996,22
07AUG1996,19
08AUG1996,20
09AUG1996,32
12AUG1996,11
13AUG1996,19
14AUG1996,27
15AUG1996,11
16AUG1996,21
19AUG1996,28
20AUG1996,24
21AUG1996,11
22AUG1996,11
23AUG1996,12
26AUG1996,18
27AUG1996,31
28AUG1996,17
29AUG1996,14
30AUG1996,13
03SEP1996,9
04SEP1996,9
05SEP1996,35
06SEP1996,18
09SEP1996,30
10SEP1996,18
11SEP1996,19
12SEP1996,31
13SEP1996,22
16SEP1996,24
17SEP1996,18
18SEP1996,23
19SEP1996,14
20SEP1996,19
23SEP1996,21
24SEP1996,16
25SEP1996,14
26SEP1996,14
27SEP1996,17
30SEP1996,17
01OCT1996,26
02OCT1996,27
03OCT1996,19
04OCT1996,12
07OCT1996,15
08OCT1996,20
09OCT1996,14
10OCT1996,28
11OCT1996,23
14OCT1996,22
15OCT1996,28
16OCT1996,27
17OCT1996,37
18OCT1996,37
21OCT1996,29
22OCT1996,26
23OCT1996,20
24OCT1996,16
25OCT1996,18
28OCT1996,17
29OCT1996,20
30OCT1996,19
31OCT1996,31
01NOV1996,8
04NOV1996,19
05NOV1996,28
06NOV1996,15
07NOV1996,21
08NOV1996,20
11NOV1996,18
12NOV1996,22
13NOV1996,14
14NOV1996,10
15NOV1996,17
18NOV1996,14
19NOV1996,6
20NOV1996,6
21NOV1996,16
22NOV1996,23
25NOV1996,14
26NOV1996,19
27NOV1996,18
29NOV1996,4
02DEC1996,24
03DEC1996,19
04DEC1996,9
05DEC1996,13
06DEC1996,26
09DEC1996,21
10DEC1996,14
11DEC1996,22
12DEC1996,9
13DEC1996,18
16DEC1996,16
17DEC1996,23
18DEC1996,24
19DEC1996,23
20DEC1996,27
23DEC1996,36
24DEC1996,21
26DEC1996,16
27DEC1996,17
30DEC1996,23
31DEC1996,35
02JAN1997,21
03JAN1997,18
06JAN1997,65
07JAN1997,45
08JAN1997,55
09JAN1997,38
10JAN1997,48
13JAN1997,22
14JAN1997,31
15JAN1997,30
16JAN1997,45
17JAN1997,29
20JAN1997,30
21JAN1997,34
22JAN1997,29
23JAN1997,22
24JAN1997,22
27JAN1997,23
28JAN1997,22
29JAN1997,27
30JAN1997,22
31JAN1997,18
03FEB1997,20
04FEB1997,30
05FEB1997,20
06FEB1997,20
07FEB1997,10
10FEB1997,17
11FEB1997,12
12FEB1997,18
13FEB1997,21
14FEB1997,28
18FEB1997,26
19FEB1997,24
20FEB1997,20
21FEB1997,24
24FEB1997,19
25FEB1997,15
26FEB1997,9
27FEB1997,14
28FEB1997,14
03MAR1997,13
04MAR1997,9
05MAR1997,13
06MAR1997,8
07MAR1997,4
10MAR1997,8
11MAR1997,8
13MAR1997,13
14MAR1997,17
17MAR1997,18
18MAR1997,13
19MAR1997,8
20MAR1997,19
21MAR1997,20
24MAR1997,10
25MAR1997,9
26MAR1997,13
27MAR1997,27
31MAR1997,21
01APR1997,14
02APR1997,15
03APR1997,23
04APR1997,23
07APR1997,29
08APR1997,19
09APR1997,10
10APR1997,17
11APR1997,5
14APR1997,18
15APR1997,9
16APR1997,14
17APR1997,20
18APR1997,15
21APR1997,15
22APR1997,11
23APR1997,13
24APR1997,13
25APR1997,8
28APR1997,8
29APR1997,4
30APR1997,14
01MAY1997,4
02MAY1997,8
06MAY1997,9
07MAY1997,4
08MAY1997,8
09MAY1997,5
12MAY1997,8
13MAY1997,14
14MAY1997,13
15MAY1997,8
16MAY1997,8
19MAY1997,14
20MAY1997,12
21MAY1997,5
22MAY1997,5
23MAY1997,8
27MAY1997,13
28MAY1997,9
30MAY1997,4
02JUN1997,4
03JUN1997,13
04JUN1997,4
05JUN1997,4
06JUN1997,4
10JUN1997,14
11JUN1997,8
12JUN1997,8
13JUN1997,9
16JUN1997,11
17JUN1997,8
18JUN1997,4
19JUN1997,8
20JUN1997,13
23JUN1997,8
24JUN1997,4
25JUN1997,5
26JUN1997,9
27JUN1997,19
30JUN1997,15
01JUL1997,36
02JUL1997,20
03JUL1997,15
07JUL1997,29
08JUL1997,16
09JUL1997,14
10JUL1997,29
11JUL1997,34
14JUL1997,24
15JUL1997,21
16JUL1997,25
17JUL1997,32
18JUL1997,29
21JUL1997,33
22JUL1997,19
23JUL1997,18
24JUL1997,10
25JUL1997,13
28JUL1997,10
29JUL1997,5
30JUL1997,19
31JUL1997,24
01AUG1997,32
04AUG1997,35
05AUG1997,26
06AUG1997,59
07AUG1997,88
08AUG1997,80
11AUG1997,72
12AUG1997,60
13AUG1997,66
14AUG1997,57
15AUG1997,52
18AUG1997,49
19AUG1997,45
20AUG1997,64
21AUG1997,46
22AUG1997,49
25AUG1997,37
26AUG1997,47
27AUG1997,45
28AUG1997,34
29AUG1997,41
02SEP1997,44
03SEP1997,41
04SEP1997,36
05SEP1997,22
08SEP1997,32
09SEP1997,34
10SEP1997,39
11SEP1997,35
12SEP1997,34
15SEP1997,32
17SEP1997,33
18SEP1997,27
19SEP1997,28
22SEP1997,24
23SEP1997,27
24SEP1997,25
25SEP1997,25
26SEP1997,28
29SEP1997,25
30SEP1997,20
01OCT1997,16
02OCT1997,19
03OCT1997,8
06OCT1997,30
07OCT1997,15
08OCT1997,23
09OCT1997,19
10OCT1997,29
13OCT1997,18
14OCT1997,14
15OCT1997,28
16OCT1997,27
17OCT1997,28
20OCT1997,32
21OCT1997,35
22OCT1997,20
23OCT1997,31
24OCT1997,38
28OCT1997,37
29OCT1997,31
30OCT1997,23
31OCT1997,36
03NOV1997,32
04NOV1997,32
05NOV1997,47
06NOV1997,45
07NOV1997,48
10NOV1997,54
11NOV1997,32
12NOV1997,24
13NOV1997,28
14NOV1997,25
17NOV1997,21
18NOV1997,16
19NOV1997,28
20NOV1997,13
21NOV1997,21
24NOV1997,27
